timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787123396212658062,0.175092,0.984552,0.357,0.012,0.6,-0,0,-0.0201051,-0.0374996,-0.480894,0.00127524,-0.00155237,0.00114567,-0.187521,0.395678,0.00306892,1.44078,0.306239,0.395469,nan,nan,0,-0.739491,0.0503349,0.00920582,-0.317459,-0.319746,0.0494728,nan,nan,0,-0.36382,-0.31054,-0.00920582,-0.561661,-0.49191,-0.310963,nan,nan,0,-0.275183,0.523767,0.00306892,-10.1832,0.352409,0.523367,nan,nan,0,-0.529191,-0.209524,-5.82177e-07,-0.428103,-0.474596,nan,-9.27751,-0.0216116,1,0.596958,0.00807439,-0.00314135,-4.86675,0.298479,nan,8.71685,0.0203056,1,-0.515268,-0.39376,0.00920582,-1.44078,-0.657634,-0.394374,nan,nan,0,-0.378477,-0.0518684,0.00306892,0.903542,-0.239239,-0.0523049,nan,nan,0,-0.37947,0.309581,0.00306892,0.21978,0.120265,0.30914,nan,nan,0,0.278438,0.523767,-0.00306892,-14.2857,0.629219,0.524012,nan,nan,0,0.0442525,-0.209147,0.00191123,-1.56523,-0.187874,nan,0.741684,0.00172772,1,0.118019,-0.00765241,-1.56244e-06,3.98383,0.0590096,nan,1.99986,0.0046586,1,0,0.970966,-0.014226,-0.015815,-0.238266,0.00127524,-0.00155237,0.00114567,0.226252,0.117493,9.73117
1787123396222413288,0.338538,0.940953,0.36386,0.02376,0.6,-0,0,-0.0200861,-0.0375094,-0.480896,0.000919195,-0.00092595,-9.80526e-05,-0.310355,0.396061,0.0583057,2.85714,0.244822,0.366275,nan,nan,0,-1.30267,0.0503349,0.00306892,0.0732574,-0.601337,-0.0713901,nan,nan,0,-0.674101,-0.311499,-0.162642,-0.415138,-0.64705,-0.370235,nan,nan,0,-0.29404,0.524534,0.156505,-0.268623,0.34298,0.467686,nan,nan,0,-0.641603,-0.209534,0.0479641,-0.508481,-0.530802,nan,-11.3163,-3.04512,1,0.769101,0.010822,0.496318,-0.524763,0.38455,nan,10.4674,2.80508,1,-0.771411,-0.394335,-0.0889931,-2.71062,-0.785706,-0.480383,nan,nan,0,-0.459322,-0.0516768,0.0398932,2.46642,-0.279661,-0.113259,nan,nan,0,-0.301308,0.308622,-0.181053,-0.366302,0.159346,0.247739,nan,nan,0,0.471516,0.523575,-0.0398932,-5.10378,0.725758,0.558489,nan,nan,0,0.104828,-0.21131,-0.332585,-0.627137,-0.157586,nan,2.37919,0.275428,1,0.1556,-0.0151214,-1.39823,-0.739378,0.0778001,nan,4.885,0.791895,1,0,0.970966,-0.014218,-0.015822,-0.238267,0.000919195,-0.00092595,-9.80526e-05,0.224956,0.111191,9.73281
1787123396232509767,0.486995,0.873405,0.370583,0.0352848,0.6,-0,0,-0.0201067,-0.0374309,-0.480814,-0.00655595,0.0238459,0.0355872,-0.34793,0.396444,0.0214815,-0.0244217,0.226035,0.309505,nan,nan,0,-1.75037,0.0503349,-0.00920582,-4.81075,-0.825187,-0.315556,nan,nan,0,-0.88552,-0.313033,-0.107405,-1.92918,-0.75276,-0.495454,nan,nan,0,-0.325096,0.528177,0.279252,-8.66911,0.327452,0.394124,nan,nan,0,-0.763014,-0.209564,0.0366085,-3.28757,-0.591507,nan,-13.4229,-7.56185,1,0.957557,0.0245606,1.31926,2.02844,0.478779,nan,11.6477,6.73907,1,-1.02819,-0.395102,-0.046031,-3.63858,-0.914093,-0.630788,nan,nan,0,-0.308653,-0.0514851,0.00306892,-1.3431,-0.204326,-0.203262,nan,nan,0,-0.0874856,0.305747,-0.242428,-0.805862,0.266257,0.182834,nan,nan,0,0.654302,0.524725,0.150367,0.512817,0.817151,0.633422,nan,nan,0,0.0607374,-0.211534,-0.070643,-0.547646,-0.179631,nan,1.22257,1.0964,1,0.161313,-0.0341637,-1.87938,0.739108,0.0806566,nan,6.26368,2.93264,1,0,0.970977,-0.014218,-0.015782,-0.238227,-0.00655595,0.0238459,0.0355872,0.302363,0.014241,9.25693
1787123396242336189,0.61812,0.786084,0.377171,0.0465791,0.6,-0,0,-0.0201784,-0.0369815,-0.479865,-0.00107116,0.0185535,0.109559,-0.25113,0.396253,-0.00920582,-1.48962,0.274435,0.257756,nan,nan,0,-1.9392,0.0495677,-0.113543,-12.967,-0.919598,-0.589119,nan,nan,0,-0.88688,-0.315334,-0.352901,-5.05495,-0.75344,-0.635165,nan,nan,0,-0.383353,0.529711,0.131955,-11.8926,0.298323,0.345851,nan,nan,0,-0.833891,-0.211641,-0.361866,-5.63309,-0.626946,nan,-13.9928,-11.1772,1,1.03258,0.0428612,2.30671,4.50727,0.516289,nan,10.7428,9.60862,1,-1.22199,-0.395485,-0.0583057,-5.88522,-1.011,-0.785873,nan,nan,0,-0.109994,-0.0518684,-0.0644426,-2.75946,-0.104997,-0.238137,nan,nan,0,0.0704864,0.302679,-0.395864,-2.41758,0.345243,0.190413,nan,nan,0,0.815808,0.526834,0.297665,2.3199,0.897904,0.727169,nan,nan,0,0.0173858,-0.211615,0.170684,0.235271,-0.201307,nan,0.104758,1.48604,1,0.106178,-0.049871,-1.364,1.74071,0.0530892,nan,5.13481,5.04675,1,0,0.971093,-0.014192,-0.015562,-0.237766,-0.00107116,0.0185535,0.109559,-0.874177,-0.326552,7.34023
1787123396252558310,0.730407,0.683013,0.383628,0.0576475,0.6,-0,0,-0.0206737,-0.0370075,-0.479281,-0.0773926,-0.101956,0.0368344,-0.0886427,0.395869,-0.0521679,-3.10134,0.355679,0.24544,nan,nan,0,-1.98484,0.0466909,-0.340627,-23.2234,-0.942418,-0.803012,nan,nan,0,-0.954249,-0.323579,-0.948232,-7.98535,-0.787124,-0.727521,nan,nan,0,-0.460078,0.530095,-0.0153437,-17.8999,0.259961,0.315451,nan,nan,0,-0.906692,-0.219634,-1.0749,-11.2332,-0.663346,nan,-13.9176,-13.1787,1,1.10019,0.0796437,3.94332,8.90875,0.550094,nan,8.19855,10.5176,1,-1.25315,-0.397212,-0.187191,-9.79243,-1.02658,-0.918484,nan,nan,0,0.100446,-0.0534024,-0.174916,-4.66422,0.000223116,-0.19737,nan,nan,0,0.0846309,0.297309,-0.463376,-1.48962,0.352315,0.255416,nan,nan,0,0.893015,0.533546,0.71501,8.96215,0.936507,0.820772,nan,nan,0,-0.0396941,-0.207483,0.356099,0.94117,-0.229847,nan,-1.31691,1.003,1,0.05548,-0.0554997,-0.279597,3.65189,0.02774,nan,2.91659,5.65135,1,0,0.971159,-0.014431,-0.01552,-0.237486,-0.0773926,-0.101956,0.0368344,-0.362381,0.298166,7.82265
1787123396262500134,0.823047,0.567973,0.389955,0.0684946,0.6,-0,0,-0.0218984,-0.0383584,-0.478301,-0.139678,-0.111174,0.157306,0.205096,0.395678,-0.00306892,-5.93407,0.502548,0.283534,nan,nan,0,-2.00143,0.043623,-0.426551,-31.917,-0.950717,-0.920071,nan,nan,0,-0.752869,-0.330099,-0.850034,-12.0879,-0.686434,-0.773521,nan,nan,0,-0.466852,0.530095,0.0521679,-25.0305,0.256574,0.287106,nan,nan,0,-0.914004,-0.225519,-1.0051,-14.3534,-0.667002,nan,-13.9443,-13.8869,1,1.11721,0.104851,3.65411,12.1162,0.558604,nan,8.13143,9.58992,1,-1.27398,-0.399129,-0.297665,-11.7949,-1.03699,-1.00152,nan,nan,0,0.240229,-0.0549364,-0.21174,-4.32234,0.0701145,-0.107447,nan,nan,0,0.100683,0.294624,-0.352901,-0.708183,0.360342,0.3179,nan,nan,0,0.866363,0.539106,0.966643,12.3321,0.923181,0.894161,nan,nan,0,-0.0549922,-0.205392,0.428421,1.25594,-0.237496,nan,-1.76627,-0.0769468,1,0.0388466,-0.0540944,0.548888,4.03611,0.0194233,nan,1.3822,4.55584,1,0,0.971252,-0.015178,-0.016038,-0.237024,-0.139678,-0.111174,0.157306,1.64112,-1.42446,9.52909
1787123396272301045,0.895799,0.444459,0.396156,0.0791247,0.6,-0,0,-0.0206865,-0.0418239,-0.476794,0.394904,-0.478254,0.0785334,0.726207,0.395869,0.0153437,-3.24786,0.763103,0.376817,nan,nan,0,-2.44588,0.0394049,-0.340627,-41.0012,-1.17294,-0.962813,nan,nan,0,-0.818487,-0.331249,0.254703,-18.2418,-0.719244,-0.758746,nan,nan,0,-0.527855,0.53182,0.205604,-27.5214,0.226073,0.265634,nan,nan,0,-1.07257,-0.233161,-0.773418,-15.0001,-0.746284,nan,-16.7992,-14.087,1,1.1859,0.134142,2.04109,11.5243,0.592949,nan,10.7026,8.79605,1,-1.12717,-0.403923,-0.518612,-12.6252,-0.963587,-1.03732,nan,nan,0,0.342206,-0.0574293,-0.242428,-1.53846,0.121103,-0.0095483,nan,nan,0,0.152341,0.293666,0.0767183,-0.0244217,0.38617,0.352769,nan,nan,0,0.969684,0.553488,1.44536,15.2137,0.974842,0.928712,nan,nan,0,-0.0658246,-0.203251,0.238334,0.984062,-0.242912,nan,-1.74565,-1.08892,1,0.0420351,-0.042893,1.47375,3.63238,0.0210175,nan,-0.293304,2.57941,1,0,0.971402,-0.014986,-0.017876,-0.236291,0.394904,-0.478254,0.0785334,3.30462,2.82237,18.1682
1787123396282286469,0.948878,0.315644,0.402233,0.0895422,0.6,-0,0,-0.0156213,-0.0470157,-0.477444,0.414292,-0.104372,-0.19805,0.679832,0.395869,0.00920582,-0.415138,0.739916,0.546318,nan,nan,0,-2.63898,0.036912,-0.187191,-41.5385,-1.26949,-1.03978,nan,nan,0,-1.07259,-0.322812,0.800934,-17.558,-0.846297,-0.730426,nan,nan,0,-0.538231,0.534121,0.150368,-26.9353,0.220884,0.245998,nan,nan,0,-1.04081,-0.238971,-0.622613,-14.5627,-0.730407,nan,-16.2664,-15.0041,1,1.24524,0.145245,0.771101,10.4393,0.622622,nan,13.1647,9.51388,1,-0.982572,-0.411401,-0.751834,-13.4066,-0.891286,-1.02182,nan,nan,0,0.408909,-0.0599222,-0.205604,0.268623,0.154455,0.0702744,nan,nan,0,0.0845708,0.297117,0.444963,-0.122101,0.352285,0.37332,nan,nan,0,1.01118,0.574772,1.91181,15.6532,0.995591,0.951251,nan,nan,0,-0.0822868,-0.203093,-0.12146,0.0821385,-0.251143,nan,-1.49958,-1.57838,1,-0.0111598,-0.0234951,1.85049,2.27011,-0.0055799,nan,-2.23827,0.562299,1,0,0.971299,-0.013145,-0.020992,-0.236567,0.414292,-0.104372,-0.19805,3.45853,-1.11821,13.8545
1787123396292442262,0.982855,0.184378,0.408188,0.0997513,0.6,-0,0,-0.0137239,-0.0455508,-0.478761,-0.0892646,0.138448,0.0147974,0.33242,0.395869,0.0214815,3.34554,0.56621,0.686639,nan,nan,0,-2.25628,0.0346107,-0.28539,-38.1197,-1.07814,-1.15522,nan,nan,0,-0.788534,-0.316868,0.481788,-15.4579,-0.704267,-0.759024,nan,nan,0,-0.454324,0.534888,0.0644436,-27.619,0.262838,0.229792,nan,nan,0,-0.827413,-0.245159,-0.511717,-15.1976,-0.623707,nan,-12.4816,-15.9107,1,1.20468,0.148848,-0.076198,10.486,0.602341,nan,13.7191,11.4101,1,-1.03341,-0.420413,-0.960506,-10.4762,-0.916707,-0.965832,nan,nan,0,0.321094,-0.0614562,-0.125817,2.90598,0.110547,0.125545,nan,nan,0,0.0762848,0.30287,0.592261,0.0732574,0.348142,0.37363,nan,nan,0,0.781161,0.595289,2.16344,12.8694,0.88058,0.974866,nan,nan,0,-0.0473035,-0.204959,-0.363785,-0.744851,-0.233652,nan,-0.458565,-1.57597,1,-0.0134585,-0.00312707,1.89908,0.715969,-0.00672923,nan,-2.95669,-1.23156,1,0,0.971172,-0.012064,-0.020497,-0.237186,-0.0892646,0.138448,0.0147974,0.629061,-6.36167,9.96663
1787123396302274048,0.998585,0.0531835,0.414025,0.109756,0.6,-0,0,-0.0169456,-0.0449463,-0.477776,-0.360392,-0.104962,0.131663,0.487224,0.396444,0.0705805,7.00854,0.643612,0.690751,nan,nan,0,-1.54521,0.030776,-0.487926,-42.3199,-0.722605,-1.17663,nan,nan,0,-0.466281,-0.316676,-0.11968,-14.188,-0.54314,-0.762475,nan,nan,0,-0.460304,0.53508,-0.0153437,-28.9377,0.259848,0.235095,nan,nan,0,-0.84495,-0.249397,-0.445173,-16.061,-0.632475,nan,-12.74,-15.0584,1,1.13639,0.146237,-0.443405,11.1973,0.568193,nan,13.3238,13.1623,1,-0.943499,-0.430192,-1.15077,-9.74359,-0.87175,-0.923573,nan,nan,0,0.118727,-0.0616479,0.00920582,4.85959,0.00936373,0.138746,nan,nan,0,0.00768147,0.307664,0.487926,0.610504,0.313841,0.361741,nan,nan,0,0.529183,0.616574,2.42121,11.746,0.754592,0.953127,nan,nan,0,0.0132497,-0.208831,-0.451006,-0.903989,-0.203375,nan,0.867467,-1.09844,1,0.0315645,0.0121605,1.78134,-0.668406,0.0157822,nan,-2.56336,-2.53182,1,0,0.971276,-0.013547,-0.019828,-0.236739,-0.360392,-0.104962,0.131663,-0.411364,-0.952315,7.7864
