timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,active_stage,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787638475753920954,0.176808,0.984245,0.3535,0.008,1,0.4,-0,0.000328967,-0.0423436,0.0424836,0.00127325,-0.0031718,-0.000823377,-0.00109656,0.160805,0.395678,0.00920582,1.5873,0.480403,0.395875,nan,nan,0,-1.01992,0.0501428,0.00306892,0.122101,-0.459958,0.0489545,nan,nan,0,-0.0735672,-0.307088,0.00306892,-0.805862,-0.346784,-0.307181,nan,nan,0,-0.188507,0.518398,0.00306892,-8.57143,0.395746,0.518112,nan,nan,0,-0.0718895,-0.209527,-5.6259e-07,-0.388853,-0.245945,nan,-1.27461,-0.00296915,1,0.658767,0.00827107,-0.00314138,-5.27228,0.329384,nan,9.63809,0.0224516,1,-0.450046,-0.39817,0.00306892,-0.610504,-0.625023,-0.398698,nan,nan,0,-0.476682,-0.0534024,0.00306892,1.29426,-0.288341,-0.0539497,nan,nan,0,-0.332682,0.307856,-0.00306892,0.757019,0.143659,0.307473,nan,nan,0,0.354767,0.508426,-0.00306892,-5.78754,0.667383,0.508796,nan,nan,0,0.101648,-0.213268,0.00191285,5.09355,-0.159176,nan,1.89036,0.00440352,1,0.0581082,-0.00629754,-1.63121e-07,3.59945,0.0290541,nan,1.06055,0.00247051,1,0,0.999549,-0.021179,0.021222,0.001086,-0.0031718,-0.000823377,-0.00109656,-0.406166,0.111802,9.71007
1787638475763482666,0.346443,0.938071,0.35693,0.01584,1,0.4,-0,0.000328967,-0.0423159,0.0424674,0.00126418,0.00420043,-0.00105205,-0.000836868,0.0837791,0.395678,0.00306892,0.805862,0.44189,0.423305,nan,nan,0,-1.38299,0.0501428,0.00306892,0.170937,-0.641494,-0.117156,nan,nan,0,-0.499798,-0.307088,0.0153437,-0.366302,-0.559899,-0.320571,nan,nan,0,-0.220479,0.518398,0.00920582,-3.88278,0.37976,0.478236,nan,nan,0,-0.235659,-0.209528,0.00191721,-0.0773172,-0.32783,nan,-4.14342,-0.42389,1,0.822126,0.00827107,0.0125655,-2.02781,0.411063,nan,12.0649,3.15922,1,-0.590992,-0.39817,0.00306892,0.0244217,-0.695496,-0.472547,nan,nan,0,-0.499283,-0.0534024,0.00306892,0.757019,-0.299642,-0.130287,nan,nan,0,-0.21903,0.307856,-0.00920582,0.366302,0.200485,0.254272,nan,nan,0,0.554073,0.508426,0.00306892,-2.75946,0.767036,0.56066,nan,nan,0,0.124894,-0.213268,5.0858e-07,1.84152,-0.147553,nan,2.30004,0.619846,1,0.0495143,-0.00629754,-0.00943152,1.28722,0.0247572,nan,0.945788,0.348531,1,0,0.99955,-0.021165,0.021214,0.001081,0.00420043,-0.00105205,-0.000836868,-0.400884,0.09434,9.73
1787638475773336818,0.503952,0.863732,0.360291,0.0235232,1,0.4,-0,0.000328967,-0.0422779,0.0424553,0.00126124,-0.000856974,-0.000477295,0.00184188,-0.080663,0.395678,0.00306892,0.854698,0.359668,0.445444,nan,nan,0,-1.65944,0.0499511,-0.0276184,-5.64103,-0.779722,-0.386201,nan,nan,0,-0.724566,-0.306897,0.0276184,-0.65934,-0.672283,-0.406378,nan,nan,0,-0.232089,0.519165,0.09513,-5.78754,0.373955,0.422595,nan,nan,0,-0.304307,-0.209547,-0.00369952,-0.822195,-0.362153,nan,-5.33568,-1.87984,1,0.946924,0.0131774,0.788435,1.00211,0.473462,nan,12.6259,7.79474,1,-0.777475,-0.39817,-0.00306892,-2.0757,-0.788738,-0.588939,nan,nan,0,-0.419369,-0.0534024,-0.0214806,-2.0757,-0.259684,-0.230473,nan,nan,0,-0.0756131,0.307281,-0.0889931,-0.65934,0.272193,0.205378,nan,nan,0,0.69703,0.509193,0.107405,1.00122,0.838515,0.65856,nan,nan,0,0.0986568,-0.215356,-0.189488,1.01796,-0.160672,nan,2.1982,1.56409,1,-0.0146488,-0.00984415,-0.320832,0.357366,-0.00732442,nan,0.556839,0.800767,1,0,0.99955,-0.021146,0.021208,0.001079,-0.000856974,-0.000477295,0.00184188,-0.395813,0.116641,9.72805
1787638475783395603,0.644967,0.764211,0.363586,0.0310527,1,0.4,-0,0.000328967,-0.042285,0.0425223,0.00130569,-0.0136962,0.0132072,0.0100682,-0.132614,0.395678,0.00306892,1.44078,0.333693,0.422263,nan,nan,0,-1.89946,0.0488005,-0.187191,-14.823,-0.89973,-0.622968,nan,nan,0,-0.849044,-0.30728,-0.0705805,-3.34554,-0.734522,-0.539762,nan,nan,0,-0.242952,0.51974,0.0583057,-9.45055,0.368524,0.386005,nan,nan,0,-0.281918,-0.209572,-0.0782726,-1.68437,-0.350959,nan,-4.83112,-3.72459,1,1.05678,0.0288792,2.04805,5.96429,0.52839,nan,11.9132,10.8222,1,-0.943137,-0.398362,-0.0276184,-4.37119,-0.871569,-0.700403,nan,nan,0,-0.299613,-0.0541697,-0.09513,-4.17583,-0.199806,-0.275862,nan,nan,0,0.111085,0.304788,-0.33449,-1.63614,0.365542,0.214613,nan,nan,0,0.850952,0.511494,0.328352,7.69231,0.915476,0.759375,nan,nan,0,0.0278627,-0.217485,-0.224147,1.60383,-0.196069,nan,1.08578,2.17383,1,-0.0526939,-0.0133947,-0.365123,0.71419,-0.0263469,nan,0.159117,0.936445,1,0,0.99955,-0.02115,0.021241,0.001102,-0.0136962,0.0132072,0.0100682,-0.541158,0.06865,8.91803
1787638475793372021,0.765791,0.643089,0.366814,0.0384317,1,0.4,-0,0.000328967,-0.0426094,0.0424883,0.00166569,-0.031346,-0.0453567,0.0721081,-0.0426868,0.395678,0.00920582,0.805862,0.378657,0.377374,nan,nan,0,-2.06349,0.045157,-0.4511,-21.8559,-0.981743,-0.79722,nan,nan,0,-0.81831,-0.310348,-0.395864,-6.95971,-0.719155,-0.657862,nan,nan,0,-0.261401,0.51974,-0.00920582,-13.9927,0.359299,0.369362,nan,nan,0,-0.33105,-0.213651,-0.298464,-1.95981,-0.375525,nan,-5.21789,-4.75191,1,1.14552,0.0605908,2.98409,10.7003,0.572761,nan,10.889,11.6504,1,-1.05584,-0.399129,-0.113543,-6.76434,-0.927922,-0.798224,nan,nan,0,-0.18783,-0.0558953,-0.217878,-5.15263,-0.143915,-0.25931,nan,nan,0,0.220747,0.299994,-0.5002,-0.903542,0.420373,0.275787,nan,nan,0,0.901696,0.516672,0.672048,10.9646,0.940848,0.848083,nan,nan,0,0.0187164,-0.217546,-0.113054,1.60345,-0.200642,nan,0.761244,1.96977,1,-0.0696681,-0.0130017,-0.151145,0.713939,-0.034834,nan,-0.428254,0.638602,1,0,0.999546,-0.021316,0.02122,0.001285,-0.031346,-0.0453567,0.0721081,-0.148042,0.378746,8.29314
1787638475803843831,0.863464,0.504411,0.369978,0.045663,1,0.4,-0,-0.0213147,-0.042157,0.0416042,0.00246425,0.126317,-0.0996291,0.0661856,0.148849,0.395869,0.0398932,-0.854698,0.474424,0.359739,nan,nan,0,-2.18445,0.0394049,-0.598398,-32.21,-1.04222,-0.917064,nan,nan,0,-0.833061,-0.314567,-0.328352,-12.3321,-0.72653,-0.719467,nan,nan,0,-0.296152,0.519932,0.0398932,-16.1905,0.341924,0.361855,nan,nan,0,-0.42377,-0.217562,-0.575677,-3.77078,-0.421885,nan,-6.2878,-5.06235,1,1.22665,0.0850876,2.22788,13.0242,0.613327,nan,12.5054,11.3628,1,-1.07035,-0.401238,-0.248566,-8.42491,-0.935176,-0.876594,nan,nan,0,-0.100512,-0.0589633,-0.316077,-7.15507,-0.100256,-0.207619,nan,nan,0,0.273867,0.297117,-0.168779,-0.610504,0.446934,0.352888,nan,nan,0,0.889051,0.527793,1.1569,15.7998,0.934526,0.911184,nan,nan,0,-0.0100758,-0.219603,-0.0728588,2.03267,-0.215038,nan,0.269083,1.35426,1,-0.0438174,-0.0165559,-0.110242,0.689761,-0.0219087,nan,0.00477811,0.102679,1,0,0.99956,-0.021098,0.02077,0.00167,0.126317,-0.0996291,0.0661856,0.113131,0.401331,9.92392
1787638475813407900,0.935796,0.352541,0.373078,0.0527498,1,0.4,-0,-0.0213147,-0.0395108,0.0398915,0.00399761,0.362337,-0.208186,0.201817,0.266734,0.396444,0.0767183,-1.73382,0.533367,0.396085,nan,nan,0,-2.51489,0.0332689,-0.586123,-38.315,-1.20744,-0.998228,nan,nan,0,-0.838676,-0.3138,0.193329,-15.409,-0.729338,-0.736715,nan,nan,0,-0.315751,0.520699,0.107406,-18.1441,0.332124,0.35309,nan,nan,0,-0.548005,-0.2236,-0.60859,-5.27298,-0.484002,nan,-8.2012,-5.46485,1,1.26196,0.0994617,0.99136,12.9611,0.630978,nan,14.4584,11.761,1,-1.08715,-0.404881,-0.408138,-9.40171,-0.943577,-0.923387,nan,nan,0,-0.0766252,-0.0616479,-0.23629,-6.03175,-0.0883126,-0.149356,nan,nan,0,0.365404,0.299611,0.402001,-0.0244217,0.492702,0.413717,nan,nan,0,0.913271,0.540832,1.55584,17.2161,0.946636,0.939157,nan,nan,0,-0.00209838,-0.219642,-0.122705,1.44656,-0.211049,nan,0.484821,0.763386,1,-0.0329274,-0.015769,-0.110313,0.0471242,-0.0164637,nan,0.144628,-0.13974,1,0,0.999603,-0.01979,0.019901,0.002392,0.362337,-0.208186,0.201817,1.05821,0.932542,12.6487
1787638475823532995,0.981389,0.19203,0.376116,0.0596948,1,0.4,-0,-0.0213147,-0.0368755,0.0373763,0.00605504,0.070796,-0.133518,0.207192,0.307888,0.397403,0.09513,-0.317459,0.553944,0.46283,nan,nan,0,-2.35711,0.0280914,-0.475651,-41.6361,-1.12855,-1.09328,nan,nan,0,-0.720455,-0.311882,0.150368,-14.9695,-0.670228,-0.736661,nan,nan,0,-0.328795,0.522041,0.131955,-17.4115,0.325603,0.34224,nan,nan,0,-0.560285,-0.225587,-0.255032,-7.11865,-0.490143,nan,-8.8769,-6.59921,1,1.29339,0.0995321,-0.0198028,12.7962,0.646697,nan,16.4447,13.2101,1,-1.12485,-0.41025,-0.604536,-9.79243,-0.962427,-0.943374,nan,nan,0,-0.110432,-0.0637569,-0.193328,-3.88278,-0.105216,-0.10709,nan,nan,0,0.321392,0.306322,0.794796,0.0244217,0.470696,0.459762,nan,nan,0,0.882009,0.55924,1.94863,16.1416,0.931004,0.947584,nan,nan,0,0.0346824,-0.219672,-0.0498929,0.781977,-0.192659,nan,1.02029,0.446603,1,-0.028454,-0.015769,-0.154338,-0.0716838,-0.014227,nan,0.277767,-0.0828819,1,0,0.999649,-0.01849,0.018628,0.003371,0.070796,-0.133518,0.207192,0.494988,-4.49798,12.1184
1787638475833478558,0.999622,0.0274851,0.379094,0.0665009,1,0.4,-0,-0.0213147,-0.0380775,0.0360796,0.0076098,-0.188838,-0.170505,0.113576,0.411322,0.398362,0.0767183,1.39194,0.605661,0.520712,nan,nan,0,-1.75594,0.0236812,-0.444963,-42.0269,-0.827971,-1.1464,nan,nan,0,-0.509508,-0.312266,-0.0583057,-14.2857,-0.564754,-0.713553,nan,nan,0,-0.365414,0.523575,0.162642,-19.3651,0.307293,0.332441,nan,nan,0,-0.553152,-0.227733,-0.115491,-6.96069,-0.486576,nan,-8.88629,-7.96557,1,1.27338,0.0986163,-0.274886,13.1213,0.636688,nan,16.5545,15.087,1,-1.04837,-0.417728,-0.807072,-9.69475,-0.924185,-0.954383,nan,nan,0,-0.116159,-0.0656743,-0.199466,-1.0989,-0.10808,-0.09304,nan,nan,0,0.184571,0.315334,0.917544,1.24542,0.402286,0.47991,nan,nan,0,0.69472,0.58321,2.28619,14.3346,0.83736,0.943862,nan,nan,0,0.0791002,-0.221723,0.0191292,0.273735,-0.17045,nan,1.76586,0.554795,1,-0.00280524,-0.0209006,-0.148013,-0.238018,-0.00140262,nan,0.806959,0.119355,1,0,0.999647,-0.019103,0.017963,0.004147,-0.188838,-0.170505,0.113576,1.65897,-2.88236,8.05517
1787638475843773843,0.990632,-0.136559,0.382012,0.0731709,1,0.4,-0,-0.0213147,-0.040686,0.0331582,0.00921875,-0.31794,-0.182476,0.145002,0.481968,0.399321,0.107406,2.95483,0.640984,0.568116,nan,nan,0,-1.34823,0.0185041,-0.481788,-44.7619,-0.624114,-1.05224,nan,nan,0,-0.233591,-0.312649,-0.00920582,-13.602,-0.426795,-0.6519,nan,nan,0,-0.369569,0.525493,0.168778,-19.072,0.305216,0.320718,nan,nan,0,-0.539104,-0.229863,-0.165439,-8.09838,-0.479552,nan,-8.49095,-8.75751,1,1.23275,0.0963188,-0.231042,15.0879,0.616373,nan,15.9482,16.3313,1,-0.865916,-0.428083,-1.00961,-9.25519,-0.832958,-0.948378,nan,nan,0,-0.175832,-0.068934,-0.365176,1.5873,-0.137916,-0.0966319,nan,nan,0,0.0322834,0.325688,0.862308,2.71062,0.326142,0.457828,nan,nan,0,0.500836,0.610246,2.51941,9.25519,0.740418,0.905912,nan,nan,0,0.144764,-0.219693,0.0555691,0.429982,-0.137618,nan,2.78928,1.04615,1,0.0391199,-0.0193088,-0.0881115,-0.000133722,0.0195599,nan,1.29823,0.438524,1,0,0.999643,-0.020415,0.016481,0.004945,-0.31794,-0.182476,0.145002,2.26579,-2.42883,8.77738
