timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1785999910782096604,0,1,0,0,0,0.00958173,0.0193467,1.18299,0.000149575,-0.000357775,-0.000314822,-0.509996,0.395869,0.00306892,1.29426,0.145002,0.395285,nan,nan,0,0.488117,0.0593467,0.00306892,-2.71062,0.294059,0.0598934,nan,nan,0,0.0562101,-0.310348,-0.00306892,0.170937,-0.281895,-0.310282,nan,nan,0,-0.428301,0.518398,-0.00306892,-8.22955,0.275849,0.517833,nan,nan,0,0.23125,-0.211652,-4.31182e-07,1.21263,-0.0943751,nan,4.10468,0.0095617,1,-0.036171,0.00245354,-0.00314293,-0.953964,-0.0180855,nan,-0.611457,-0.00142436,1,0.625196,-0.39817,0.00306892,-0.415138,-0.0874019,-0.397446,nan,nan,0,0.417304,-0.0464997,0.00306892,-1.14774,0.158652,-0.0460218,nan,nan,0,0.142776,0.309006,0.00306892,0.366302,0.381388,0.309175,nan,nan,0,-0.295574,0.513796,-0.00920582,-7.10622,0.342213,0.513396,nan,nan,0,0.493182,-0.209388,-0.00191352,-0.196721,0.0365909,nan,8.61214,0.0200616,1,0.0436128,0.00331572,1.09328e-06,-1.57456,0.0218064,nan,0.554719,0.0012922,1,0,0.830086,-0.001417,0.010701,0.55753,0.000149575,-0.000357775,-0.000314822,-0.142877,0.108638,9.76093
1785999910791651695,0,1,0,0,0,0.00956762,0.0193297,1.18297,-0.00243501,-0.00115673,-0.00370123,-0.136603,0.395869,0.00920582,0.366302,0.331699,0.314235,nan,nan,0,0.214641,0.0593467,0.00306892,-1.3431,0.15732,0.135812,nan,nan,0,0.088885,-0.310348,0.00920582,0.0244217,-0.265557,-0.301002,nan,nan,0,-0.487625,0.518398,0.0153437,-3.83395,0.246187,0.438981,nan,nan,0,0.134125,-0.211652,-0.00191642,0.66492,-0.142937,nan,2.40788,1.33889,1,-0.0361102,0.00245354,-7.07009e-07,-0.333922,-0.0180551,nan,-0.615258,-0.200642,1,0.32405,-0.39817,0.00306892,-0.366302,-0.237975,-0.296855,nan,nan,0,0.24444,-0.0464997,0.00306892,-0.21978,0.0722202,0.0204128,nan,nan,0,0.00617757,0.309006,-0.00306892,0.21978,0.313089,0.332526,nan,nan,0,-0.257694,0.513796,0.0153437,-3.58974,0.361153,0.457708,nan,nan,0,0.453253,-0.209388,0.00191072,-0.19623,0.0166264,nan,7.90765,2.81488,1,-0.0276519,0.00331572,0.0125637,-0.715735,-0.013826,nan,-0.533096,0.180186,1,0,0.830091,-0.001418,0.01069,0.557522,-0.00243501,-0.00115673,-0.00370123,-0.153352,0.106924,9.76222
1785999910801535494,0,1,0,0,0,0.00957193,0.0193292,1.18295,0.00383831,0.00258605,0.00127311,0.00524054,0.395678,-0.00920582,-1.48962,0.40262,0.271883,nan,nan,0,0.232726,0.0595388,0.0398932,1.5873,0.166363,0.187935,nan,nan,0,0.0867692,-0.310348,0.00306892,0.366302,-0.266615,-0.283997,nan,nan,0,-0.503559,0.518973,0.0828552,-8.76679,0.238221,0.32959,nan,nan,0,0.17896,-0.211651,-0.0153246,1.1342,-0.12052,nan,3.21258,2.48213,1,-0.0123714,0.00264985,0.0408497,-0.333984,-0.00618568,nan,-0.32634,-0.464862,1,0.328916,-0.397978,0.0214815,2.12454,-0.235542,-0.217967,nan,nan,0,0.153279,-0.0464997,0.0153437,1.44078,0.0266393,0.0765925,nan,nan,0,-0.0235596,0.309006,0.0214815,0.708183,0.29822,0.340071,nan,nan,0,-0.206624,0.514371,0.0705805,-6.66666,0.386688,0.393363,nan,nan,0,0.589082,-0.209375,0.0631145,2.42812,0.0845409,nan,10.1924,6.12558,1,-0.0384193,0.00351188,0.100476,-0.357268,-0.0192096,nan,-0.832359,0.0377876,1,0,0.830095,-0.001416,0.010691,0.557517,0.00383831,0.00258605,0.00127311,-0.197375,0.132234,9.74013
1785999910812032718,0,1,0,0,0,0.0096378,0.0193693,1.18298,0.00577058,-0.0070213,0.0034262,-0.0175098,0.395294,-0.0521679,-1.8315,0.391245,0.314152,nan,nan,0,0.347444,0.0603056,0.101268,2.95483,0.223722,0.188585,nan,nan,0,0.199264,-0.310156,0.0337563,0.757019,-0.210368,-0.270969,nan,nan,0,-0.47519,0.518973,-0.0644426,-17.9487,0.252405,0.259234,nan,nan,0,0.16208,-0.211651,0.0574949,2.19019,-0.12896,nan,2.80796,2.98038,1,-0.0256002,0.00363142,0.0471618,-0.691803,-0.0128001,nan,-0.563688,-0.524014,1,0.531367,-0.397595,0.0583057,4.07815,-0.134316,-0.207615,nan,nan,0,0.251483,-0.0459247,0.0583057,3.7851,0.0757414,0.0733913,nan,nan,0,-0.0101274,0.30939,0.0276184,1.00122,0.304936,0.323766,nan,nan,0,-0.184943,0.514563,-0.0276184,-11.453,0.397529,0.370135,nan,nan,0,0.598066,-0.207275,0.279065,5.52563,0.0890332,nan,9.9522,8.52023,1,-0.0453347,0.00588371,0.298,-0.33222,-0.0226673,nan,-1.30353,-0.417617,1,0,0.830087,-0.0014,0.010726,0.557528,0.00577058,-0.0070213,0.0034262,-0.306562,0.2567,9.38995
1785999910821871936,0,1,0,0,0,0.00985699,0.0190943,1.18292,0.0228486,-0.042983,-0.0179613,-0.0117182,0.394527,-0.09513,-1.68498,0.394141,0.364417,nan,nan,0,0.239338,0.0614562,0.150368,3.63858,0.169669,0.196313,nan,nan,0,0.173864,-0.309581,0.0889931,1.00122,-0.223068,-0.247376,nan,nan,0,-0.495474,0.517247,-0.230153,-21.8559,0.242263,0.236328,nan,nan,0,0.110765,-0.211652,0.116904,2.6986,-0.154617,nan,1.82085,3.06625,1,-0.0364113,0.00579183,0.0880397,-0.668039,-0.0182056,nan,-0.851984,-0.529432,1,0.442694,-0.396636,0.11968,4.12698,-0.178653,-0.186045,nan,nan,0,0.187241,-0.0451574,0.107406,3.19902,0.0436206,0.0654365,nan,nan,0,-0.0496601,0.309581,0.00920582,0.65934,0.28517,0.309326,nan,nan,0,-0.124288,0.513988,-0.101268,-12.3321,0.427856,0.376251,nan,nan,0,0.624041,-0.203083,0.574553,7.29738,0.10202,nan,9.81679,9.77919,1,-0.0347663,0.00983548,0.488369,-0.688563,-0.0173831,nan,-1.54911,-0.935034,1,0,0.830106,-0.001232,0.010673,0.557501,0.0228486,-0.042983,-0.0179613,0.202303,0.531831,9.46518
1785999910831680757,0,1,0,0,0,0.0102429,0.018842,1.18264,0.0445449,0.00422007,-0.0410479,-0.0218218,0.393376,-0.113543,-0.0732574,0.389089,0.390826,nan,nan,0,0.220701,0.0633736,0.21174,3.5409,0.16035,0.194113,nan,nan,0,0.184951,-0.308047,0.205604,1.19658,-0.217524,-0.227484,nan,nan,0,-0.458545,0.513987,-0.395864,-21.7582,0.260728,0.235431,nan,nan,0,0.15577,-0.20749,0.197204,2.936,-0.132115,nan,2.34232,2.58765,1,0.0118284,0.00354782,0.169599,-0.716359,0.00591419,nan,-0.183407,-0.639308,1,0.304624,-0.395102,0.181053,4.56654,-0.247688,-0.169848,nan,nan,0,0.0712494,-0.0438147,0.156505,3.19902,-0.0143753,0.058,nan,nan,0,-0.129808,0.30939,-0.0153437,0.21978,0.245096,0.297119,nan,nan,0,-0.11142,0.512453,-0.168778,-10.4274,0.43429,0.398126,nan,nan,0,0.57721,-0.194745,0.812985,9.24061,0.0786051,nan,8.34777,9.98547,1,-0.0748835,0.0169265,0.523566,-0.851938,-0.0374417,nan,-2.4164,-1.40472,1,0,0.830183,-0.001,0.010676,0.557386,0.0445449,0.00422007,-0.0410479,0.419168,0.501298,10.7779
1785999910841729935,0,1,0,0,0,0.0108897,0.0193104,1.1819,0.0602386,0.0723524,-0.1169,-0.105779,0.392034,-0.138092,0.708183,0.34711,0.397149,nan,nan,0,0.274173,0.0654826,0.224015,5.05495,0.187086,0.178542,nan,nan,0,0.152645,-0.304788,0.395864,1.05006,-0.233677,-0.218696,nan,nan,0,-0.429793,0.508427,-0.543161,-20.0977,0.275103,0.244627,nan,nan,0,0.177177,-0.205408,0.252593,2.46752,-0.121412,nan,2.56099,2.21411,1,-0.00719215,0.00527045,0.222862,-0.859891,-0.00359607,nan,-0.600289,-0.56977,1,0.346113,-0.392801,0.254703,4.7619,-0.226944,-0.192667,nan,nan,0,0.0919206,-0.0418973,0.205604,2.71062,-0.00403972,0.0302442,nan,nan,0,-0.151391,0.309198,-0.0153437,-0.170937,0.234305,0.275184,nan,nan,0,-0.106293,0.510536,-0.205604,-8.52259,0.436853,0.420226,nan,nan,0,0.593397,-0.188451,0.773384,10.4002,0.0866985,nan,8.47016,9.37326,1,-0.109516,0.0181211,0.309056,-0.966465,-0.0547582,nan,-2.64996,-1.87256,1,0,0.83039,-0.000858,0.011051,0.557071,0.0602386,0.0723524,-0.1169,-0.722816,0.793735,11.6669
1785999910851592486,0,1,0,0,0,0.0117931,0.0203794,1.18042,0.0472175,0.11355,-0.163853,-0.181707,0.390116,-0.205604,2.22222,0.309146,0.380961,nan,nan,0,0.266343,0.0674005,0.174916,5.59219,0.183172,0.174462,nan,nan,0,0.110273,-0.300569,0.402001,1.39194,-0.254863,-0.221284,nan,nan,0,-0.417872,0.502866,-0.64136,-19.6581,0.281064,0.259505,nan,nan,0,0.199728,-0.203328,0.330848,2.03775,-0.110136,nan,2.76545,2.22123,1,-0.0103598,0.00993106,0.232133,-0.69297,-0.00517989,nan,-0.801528,-0.536951,1,0.356119,-0.390117,0.279252,5.15263,-0.221941,-0.21862,nan,nan,0,0.0953662,-0.0397882,0.21174,2.17339,-0.00231692,0.00482962,nan,nan,0,-0.161698,0.308622,-0.0583057,-0.708183,0.229151,0.251469,nan,nan,0,-0.0757927,0.508235,-0.242428,-5.93407,0.452104,0.433417,nan,nan,0,0.643241,-0.182228,0.571506,10.3361,0.11162,nan,9.42743,8.73381,1,-0.0979271,0.0183329,-0.0904264,-1.44469,-0.0489636,nan,-1.88326,-2.23912,1,0,0.8308,-0.000772,0.011747,0.556446,0.0472175,0.11355,-0.163853,-1.94885,1.0184,11.1999
1785999910861580280,0,1,0,0,0,0.0122486,0.0219863,1.17883,0.00617227,0.151735,-0.155155,-0.250926,0.387623,-0.266977,1.48962,0.274537,0.347877,nan,nan,0,0.236585,0.0685506,0.0767183,6.37363,0.168293,0.178393,nan,nan,0,0.120001,-0.297118,0.279252,1.73382,-0.25,-0.234914,nan,nan,0,-0.369075,0.496155,-0.696597,-16.3858,0.305462,0.272823,nan,nan,0,0.261019,-0.199165,0.39735,1.8044,-0.0794906,nan,3.59258,2.4145,1,-0.00524216,0.0108197,0.178562,-0.693559,-0.00262108,nan,-0.671066,-0.63048,1,0.324149,-0.387432,0.266977,4.46886,-0.237925,-0.227455,nan,nan,0,0.102721,-0.0376787,0.193329,1.73382,0.00136061,-0.00516553,nan,nan,0,-0.164868,0.306897,-0.248566,-0.708183,0.227566,0.235543,nan,nan,0,-0.0420383,0.505934,-0.26084,-4.71307,0.468981,0.443326,nan,nan,0,0.665744,-0.178128,0.296846,9.82876,0.122872,nan,10.0897,8.78547,1,-0.129339,0.0156176,-0.478321,-1.95148,-0.0646697,nan,-1.69114,-2.15273,1,0,0.831238,-0.00102,0.012542,0.555773,0.00617227,0.151735,-0.155155,-2.1846,0.582303,10.3649
1785999910871733017,0,1,0,0,0,0.0128957,0.0238572,1.17778,0.0454796,0.154799,-0.06045,-0.236408,0.384364,-0.33449,1.05006,0.281796,0.30946,nan,nan,0,0.202771,0.0687423,-0.00920582,5.49451,0.151385,0.176827,nan,nan,0,0.153746,-0.2952,0.168778,1.68498,-0.233127,-0.246458,nan,nan,0,-0.342423,0.488101,-0.745697,-14.9206,0.318788,0.288103,nan,nan,0,0.275417,-0.195007,0.475149,2.15967,-0.0722913,nan,3.58233,2.85274,1,-0.00323888,0.0117061,0.131326,-0.670199,-0.00161944,nan,-0.596753,-0.681213,1,0.32127,-0.384939,0.230153,5.15263,-0.239365,-0.232088,nan,nan,0,0.105536,-0.035953,0.174916,1.48962,0.00276789,-0.00499231,nan,nan,0,-0.150362,0.303829,-0.346765,-0.903542,0.234819,0.228012,nan,nan,0,-0.0405505,0.503057,-0.28539,-3.34554,0.469725,0.455564,nan,nan,0,0.705971,-0.17611,0.128,9.27671,0.142986,nan,10.9763,9.38698,1,-0.12392,0.0113442,-0.480186,-2.29154,-0.0619601,nan,-1.47885,-1.83498,1,0,0.831523,-0.001264,0.0135,0.555324,0.0454796,0.154799,-0.06045,-2.49079,1.29681,9.63434
1785999910881564983,0,1,0,0,0,0.0136945,0.0253415,1.17749,0.0423181,0.116194,-0.00388849,-0.185553,0.380721,-0.371314,0.463982,0.307224,0.285291,nan,nan,0,0.215322,0.0685506,-0.00306892,3.98046,0.157661,0.166746,nan,nan,0,0.186213,-0.294049,0.14423,1.44078,-0.216893,-0.245488,nan,nan,0,-0.332234,0.480814,-0.727284,-12.3321,0.323883,0.304739,nan,nan,0,0.276469,-0.188767,0.579163,2.43827,-0.0717655,nan,3.2263,3.25971,1,-0.000103252,0.0109803,0.0840519,-0.742955,-5.1626e-05,nan,-0.457036,-0.66212,1,0.332674,-0.38283,0.199466,4.07815,-0.233663,-0.236553,nan,nan,0,0.0984751,-0.0344191,0.150368,1.78266,-0.000762458,-0.00136442,nan,nan,0,-0.129579,0.299994,-0.395864,-0.854698,0.245211,0.228343,nan,nan,0,-0.05152,0.500181,-0.279252,-3.05251,0.46424,0.465395,nan,nan,0,0.725024,-0.174083,0.087675,9.20073,0.152512,nan,11.2993,10.2056,1,-0.12175,0.0101856,-0.252564,-2.34146,-0.0608752,nan,-1.75298,-1.6144,1,0,0.8316,-0.001342,0.014339,0.555187,0.0423181,0.116194,-0.00388849,-1.96642,0.272818,9.5348
1785999910891776742,0,1,0,0,0,0.0143984,0.0264665,1.17766,0.0614063,0.0800037,0.0298002,-0.152984,0.376886,-0.389727,-0.463982,0.323508,0.285995,nan,nan,0,0.202683,0.0687423,0.0276184,3.49207,0.151342,0.158737,nan,nan,0,0.194361,-0.292899,0.131955,1.19658,-0.21282,-0.233858,nan,nan,0,-0.336316,0.473528,-0.708872,-12.0879,0.321842,0.317377,nan,nan,0,0.267576,-0.18462,0.679219,2.75631,-0.076212,nan,2.77547,3.32838,1,-0.0086285,0.0153723,0.0868061,-0.839579,-0.00431425,nan,-0.720807,-0.592901,1,0.348372,-0.381104,0.174916,4.66422,-0.225814,-0.237154,nan,nan,0,0.109051,-0.0330768,0.138092,1.29426,0.00452532,0.000422044,nan,nan,0,-0.124048,0.29635,-0.365176,-0.952377,0.247976,0.235008,nan,nan,0,-0.045371,0.497688,-0.242428,-1.78266,0.467314,0.468148,nan,nan,0,0.757899,-0.174071,0.123152,9.91498,0.168949,nan,11.821,10.8977,1,-0.114927,0.00804796,0.0117894,-2.00305,-0.0574637,nan,-1.98303,-1.6505,1,0,0.831548,-0.001363,0.015002,0.555248,0.0614063,0.0800037,0.0298002,-1.06518,0.59572,9.26918
