timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1786066660933776791,0.867536,-0.497374,0.4,-0.05,-9.09858e-05,0.00305826,0.0379839,0.4819,0.0025452,0.00125458,0.000303286,-0.36668,0.395102,-0.00306892,1.29426,0.21666,0.394686,nan,nan,0,-1.1052,0.0457325,0.00306892,0.952377,-0.502601,0.0444552,nan,nan,0,0.0645591,-0.310156,-0.00920582,0.0244217,-0.27772,-0.310081,nan,nan,0,-0.34394,0.51437,-0.00306892,-7.25275,0.31803,0.513913,nan,nan,0,-0.0755848,-0.211651,-1.26229e-06,2.42478,-0.247792,nan,-1.26493,-0.00294661,1,0.638904,0.00107886,-0.00942785,-0.64414,0.319452,nan,9.56533,0.0222821,1,-0.0584056,-0.39817,0.00306892,-0.122101,-0.429203,-0.398242,nan,nan,0,-0.239204,-0.0474586,0.00306892,-0.415138,-0.169602,-0.0477432,nan,nan,0,0.176838,0.307472,0.00306892,0.854698,0.398419,0.307684,nan,nan,0,0.438601,0.512836,-0.00306892,-7.35043,0.7093,0.513294,nan,nan,0,-0.0317429,-0.211451,0.00191502,2.3089,-0.225871,nan,-0.507598,-0.00118243,1,-0.185207,0.00329668,-0.00628589,-2.14577,-0.0926036,nan,-2.86758,-0.00667991,1,0,0.970942,-0.003047,0.018807,0.238554,0.0025452,0.00125458,0.000303286,-0.350302,0.058848,9.75255
1786066660943148166,0.819221,-0.573478,0.4,-0.05,-9.09858e-05,0.00306573,0.0380048,0.481915,-0.00204294,0.00230753,-0.00198318,-0.279184,0.395102,0.00306892,0.903542,0.260408,0.336828,nan,nan,0,-1.34372,0.0457325,0.00306892,0.65934,-0.621859,-0.133929,nan,nan,0,-0.330951,-0.310156,0.0153437,0.0244217,-0.475475,-0.300006,nan,nan,0,-0.472538,0.51437,0.00920582,-4.07815,0.253731,0.449989,nan,nan,0,-0.132119,-0.211651,4.20808e-07,0.625648,-0.276059,nan,-2.25428,-0.416704,1,0.778223,0.00107886,0.00314294,0.119138,0.389111,nan,11.6363,3.13136,1,-0.476112,-0.39817,0.00306892,-0.512817,-0.638056,-0.408809,nan,nan,0,-0.235757,-0.0474586,0.00920582,-0.415138,-0.167878,-0.0874129,nan,nan,0,0.0651461,0.307472,0.00306892,0.708183,0.342573,0.337095,nan,nan,0,0.483115,0.512836,0.00306892,-3.39439,0.731557,0.57716,nan,nan,0,-0.113318,-0.211451,-0.00574246,1.13489,-0.266659,nan,-1.92367,-0.16899,1,-0.204687,0.00349294,2.15556e-06,-1.09673,-0.102343,nan,-3.17509,-0.940077,1,0,0.97094,-0.003046,0.018818,0.238561,-0.00204294,0.00230753,-0.00198318,-0.370245,0.056509,9.75647
1786066660953248111,0.763895,-0.64534,0.4,-0.05,-9.09858e-05,0.00306385,0.0380237,0.481897,0.00355658,0.00060809,-0.000481257,-0.41992,0.395102,-0.00920582,-0.854698,0.19004,0.277497,nan,nan,0,-1.64765,0.0455403,-0.046031,-5.44566,-0.773826,-0.398498,nan,nan,0,-0.208955,-0.310156,-0.00306892,0.21978,-0.414478,-0.350759,nan,nan,0,-0.485917,0.514754,0.0521679,-7.00854,0.247041,0.348352,nan,nan,0,-0.209666,-0.21165,-0.0708825,0.0381952,-0.314833,nan,-3.50508,-1.24824,1,0.904205,0.00127518,0.157112,2.57523,0.452102,nan,13.2891,7.71957,1,-0.668976,-0.39817,0.00306892,-0.317459,-0.734488,-0.489632,nan,nan,0,-0.180077,-0.0474586,0.00306892,-1.5873,-0.140038,-0.137015,nan,nan,0,0.129394,0.307472,0.0153437,0.854698,0.374697,0.356428,nan,nan,0,0.632534,0.513604,0.113543,1.19658,0.806267,0.665351,nan,nan,0,-0.117428,-0.213492,-0.120669,0.586653,-0.268714,nan,-1.75176,-0.809444,1,-0.256212,0.00249177,0.194949,-1.09643,-0.128106,nan,-4.21035,-2.24222,1,0,0.970942,-0.003049,0.018827,0.238552,0.00355658,0.00060809,-0.000481257,-0.367409,0.053623,9.74032
1786066660963105664,0.703845,-0.710353,0.4,-0.05,-9.09858e-05,0.00311414,0.0380588,0.48192,0.00918722,-0.00226603,0.00657312,-0.489446,0.39491,-0.0337563,-2.3199,0.155277,0.231641,nan,nan,0,-1.90145,0.0440063,-0.21174,-14.7741,-0.900724,-0.6229,nan,nan,0,-0.354392,-0.310156,-0.00306892,-1.05006,-0.487196,-0.404998,nan,nan,0,-0.4697,0.514754,-0.0337563,-15.409,0.25515,0.274746,nan,nan,0,-0.197723,-0.213722,-0.189642,-0.784247,-0.308861,nan,-3.04542,-2.3103,1,0.965462,0.00937131,1.03125,6.12519,0.482731,nan,12.6539,11.1298,1,-0.76825,-0.39817,-0.00920582,-2.02686,-0.784125,-0.614067,nan,nan,0,-0.130307,-0.0476503,-0.0153437,-2.46642,-0.115154,-0.155206,nan,nan,0,0.101055,0.307856,0.046031,1.39194,0.360527,0.364715,nan,nan,0,0.623496,0.516288,0.346765,6.47131,0.801748,0.743799,nan,nan,0,-0.0981424,-0.215542,-0.235635,-0.273901,-0.259071,nan,-1.17007,-1.40647,1,-0.234816,0.00443648,0.16356,-1.95375,-0.117408,nan,-3.90068,-3.40661,1,0,0.970939,-0.003029,0.01885,0.238563,0.00918722,-0.00226603,0.00657312,-0.401302,0.077869,9.52354
1786066660973133317,0.637646,-0.770329,0.4,-0.05,-9.09858e-05,0.00332495,0.0377575,0.481844,0.0437609,-0.0543627,-0.0311996,-0.392292,0.394144,-0.0705805,-3.24786,0.203854,0.188745,nan,nan,0,-2.05094,0.0397882,-0.506338,-20.2442,-0.975469,-0.79349,nan,nan,0,-0.387505,-0.310348,-0.0337563,-3.19902,-0.503752,-0.446581,nan,nan,0,-0.476371,0.513412,-0.193328,-18.779,0.251814,0.245785,nan,nan,0,-0.204056,-0.217774,-0.561081,-1.06322,-0.312028,nan,-2.45728,-2.93373,1,1.01299,0.0308969,2.63696,9.04813,0.506496,nan,10.3126,12.36,1,-0.848934,-0.398553,-0.0583057,-4.07815,-0.824467,-0.720045,nan,nan,0,-0.112663,-0.0480337,-0.0521679,-3.34554,-0.106332,-0.144029,nan,nan,0,0.0837458,0.308815,0.131955,1.3431,0.351873,0.367028,nan,nan,0,0.557653,0.522233,0.71501,12.0879,0.768827,0.792183,nan,nan,0,-0.113832,-0.21765,-0.36421,-0.89821,-0.266916,nan,-1.178,-1.4885,1,-0.233078,0.00500681,-0.26763,-2.71454,-0.116539,nan,-3.24492,-3.95626,1,0,0.970951,-0.00289,0.018729,0.238525,0.0437609,-0.0543627,-0.0311996,-0.029632,-0.051449,9.05119
1786066660983261227,0.565325,-0.824869,0.4,-0.05,0.00833011,0.00403099,0.0371752,0.481438,0.0964099,-0.0482374,-0.0258783,-0.472832,0.392993,-0.138092,-4.37119,0.163584,0.177496,nan,nan,0,-2.06,0.0330768,-0.733422,-28.3028,-0.980001,-0.91228,nan,nan,0,-0.32731,-0.310348,0.0644436,-5.64103,-0.473655,-0.482069,nan,nan,0,-0.414928,0.50996,-0.352901,-21.9536,0.282536,0.242345,nan,nan,0,-0.148507,-0.225738,-1.0279,-1.55605,-0.284253,nan,-0.506197,-2.81607,1,1.03074,0.065986,3.77839,11.1695,0.51537,nan,7.81394,11.4364,1,-0.822152,-0.400087,-0.193328,-6.27595,-0.811076,-0.790569,nan,nan,0,-0.191074,-0.0488005,-0.0889931,-2.61295,-0.145537,-0.124275,nan,nan,0,0.00935795,0.310924,0.23629,1.05006,0.314679,0.36148,nan,nan,0,0.464031,0.53182,1.07098,11.6484,0.722016,0.79786,nan,nan,0,-0.104433,-0.221875,-0.539502,-0.42717,-0.262217,nan,-0.602719,-1.29715,1,-0.194884,-0.000936074,-0.869808,-2.99746,-0.0974422,nan,-1.59047,-3.68966,1,0,0.971005,-0.002474,0.018531,0.238323,0.0964099,-0.0482374,-0.0258783,-0.140261,0.042742,9.58566
1786066660993186684,0.489138,-0.872206,0.4,-0.05,0.00833011,0.00485153,0.0359703,0.481217,0.118554,-0.131546,-0.0263199,-0.268687,0.391267,-0.187191,-5.29915,0.265657,0.174903,nan,nan,0,-1.98722,0.0250235,-0.813209,-37.3871,-0.943609,-0.973776,nan,nan,0,-0.320959,-0.306513,0.573849,-9.89011,-0.47048,-0.49161,nan,nan,0,-0.409476,0.506509,-0.316077,-27.1795,0.285262,0.256185,nan,nan,0,-0.164555,-0.233232,-1.1289,-3.57993,-0.292278,nan,-0.373269,-1.80478,1,0.99331,0.0962495,3.13958,13.1106,0.496655,nan,7.3028,9.4559,1,-0.753562,-0.403347,-0.359039,-7.10622,-0.776781,-0.820031,nan,nan,0,-0.0950004,-0.0499511,-0.11968,-2.51526,-0.0975002,-0.123255,nan,nan,0,0.0413262,0.313416,0.273115,0.65934,0.330663,0.343321,nan,nan,0,0.272231,0.544859,1.37171,7.69231,0.626115,0.769455,nan,nan,0,-0.0981141,-0.228203,-0.769422,-0.386728,-0.259057,nan,0.0742272,-0.902908,1,-0.194247,-0.012435,-1.3286,-3.25486,-0.0971233,nan,-0.547749,-2.62908,1,0,0.971043,-0.00193,0.018044,0.238212,0.118554,-0.131546,-0.0263199,0.715657,-1.32189,10.7837
1786066661003434140,0.408468,-0.912773,0.4,-0.05,0.00833011,0.00666935,0.03393,0.481066,0.301847,-0.242451,0.00297629,-0.0825789,0.388966,-0.230153,-4.85959,0.358711,0.202115,nan,nan,0,-1.91997,0.0181208,-0.629086,-43.0525,-0.909987,-0.979898,nan,nan,0,-0.224044,-0.29635,1.22441,-12.7717,-0.422022,-0.483923,nan,nan,0,-0.332087,0.504591,-0.11968,-26.8376,0.323957,0.273539,nan,nan,0,-0.214853,-0.243114,-0.709935,-3.66695,-0.317427,nan,-1.53605,-0.822904,1,0.917836,0.119755,1.37484,12.1129,0.458918,nan,8.11262,8.15001,1,-0.556909,-0.408141,-0.537024,-9.40171,-0.678454,-0.811393,nan,nan,0,-0.141189,-0.0512934,-0.150367,-1.88034,-0.120594,-0.118429,nan,nan,0,0.0792115,0.316484,0.303802,0.21978,0.349606,0.330008,nan,nan,0,-0.00521786,0.560008,1.58652,5.25031,0.487391,0.707594,nan,nan,0,-0.0763167,-0.236585,-0.980696,-0.387844,-0.248158,nan,1.06599,-0.281785,1,-0.188914,-0.0269604,-1.61797,-2.44318,-0.094457,nan,0.402062,-1.25875,1,0,0.971079,-0.000803,0.01727,0.23813,0.301847,-0.242451,0.00297629,1.37485,0.424471,14.5056
1786066661013466676,0.32444,-0.945906,0.4,-0.05,0.00833011,0.00888693,0.0313826,0.480477,0.211617,-0.0185562,-0.132885,-0.365543,0.386281,-0.28539,-3.15018,0.217228,0.270055,nan,nan,0,-1.47493,0.0135183,-0.402001,-41.1477,-0.687463,-0.952015,nan,nan,0,-0.253534,-0.281777,1.43309,-11.8926,-0.436767,-0.459682,nan,nan,0,-0.181098,0.504016,-0.0337563,-22.735,0.399451,0.296317,nan,nan,0,-0.0422236,-0.245066,-0.103897,-2.62842,-0.231112,nan,0.644241,-0.849017,1,0.786508,0.121418,-0.105842,9.40898,0.393254,nan,8.31384,8.17394,1,-0.31561,-0.414469,-0.659773,-8.13187,-0.557805,-0.759929,nan,nan,0,-0.0310682,-0.053019,-0.168779,-1.73382,-0.0655341,-0.114309,nan,nan,0,0.0559604,0.318402,0.181053,-0.0244217,0.33798,0.333228,nan,nan,0,-0.275317,0.576114,1.58039,2.46642,0.352341,0.606861,nan,nan,0,-0.096153,-0.246981,-1.03573,-0.156278,-0.258076,nan,1.16526,0.504199,1,-0.165297,-0.0453316,-1.77146,-0.97077,-0.0826484,nan,1.53768,-0.0611568,1,0,0.971168,0.000582,0.016297,0.237835,0.211617,-0.0185562,-0.132885,2.0357,-2.78323,12.1431
1786066661024418648,0.23751,-0.971385,0.4,-0.05,0.00833011,0.00927925,0.0306615,0.479265,-0.0842653,0.00440027,-0.102695,-0.42779,0.382638,-0.352901,-1.00122,0.186105,0.284245,nan,nan,0,-0.827739,0.00929976,-0.389727,-35.3358,-0.363869,-0.85132,nan,nan,0,-0.0797822,-0.269506,0.874582,-8.86447,-0.349891,-0.439787,nan,nan,0,-0.125599,0.504016,-0.00306892,-20.0977,0.4272,0.340135,nan,nan,0,0.134824,-0.245376,0.238275,-1.70366,-0.142588,nan,3.24018,-0.64964,1,0.622891,0.11786,-0.728984,8.52286,0.311445,nan,6.90105,8.61661,1,-0.0923048,-0.422714,-0.788659,-4.90842,-0.446152,-0.667665,nan,nan,0,-0.0254284,-0.0549364,-0.187191,-1.14774,-0.0627142,-0.0984862,nan,nan,0,-0.00325007,0.320127,0.168778,-0.0244217,0.308375,0.338244,nan,nan,0,-0.512227,0.592222,1.39626,-4.51771,0.233887,0.479147,nan,nan,0,-0.13567,-0.257273,-1.01954,0.115036,-0.277835,nan,0.809643,1.08848,1,-0.150525,-0.0649542,-1.86013,-0.330758,-0.0752624,nan,2.48094,0.990119,1,0,0.971317,0.000868,0.015993,0.237246,-0.0842653,0.00440027,-0.102695,0.372907,-3.59802,9.21428
