timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,active_stage,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1788253359196137314,0.0896393,0.995974,0.7,0,0,0.4,-0,-0.000211157,0.00391196,-0.00167451,-0.348854,-0.000777684,0.000379051,0.000703856,-0.425012,0.394335,0.00306892,1.78266,0.187494,0.393853,nan,nan,0,-0.145832,0.049376,0.00306892,0.21978,-0.0229158,0.0492076,nan,nan,0,-0.658187,-0.310348,-0.00920582,0.170937,-0.639093,-0.311114,nan,nan,0,-0.46923,0.519932,-0.00306892,-8.81563,0.255385,0.519316,nan,nan,0,-0.404882,-0.209567,-3.56475e-07,-1.4072,-0.412441,nan,-7.10059,-0.0165405,1,0.332338,0.00810386,-0.00314143,-4.36555,0.166169,nan,4.74666,0.0110572,1,0.336304,-0.397019,-0.00306892,-0.854698,-0.231848,-0.396635,nan,nan,0,-0.671771,-0.0535946,0.00306892,0.952377,-0.385885,-0.0543686,nan,nan,0,-0.673194,0.307664,0.0153437,0.805862,-0.026597,0.306885,nan,nan,0,-0.0290718,0.518398,-0.00920582,-8.66911,0.475464,0.518298,nan,nan,0,0.168298,-0.209563,3.56555e-07,0.431713,-0.125851,nan,2.92991,0.00682511,1,0.379623,-0.00594496,-0.00314145,4.3896,0.189812,nan,5.87741,0.0136912,1,0,0.984824,0.001781,-0.001164,-0.173542,-0.000777684,0.000379051,0.000703856,-0.030128,0.152086,9.77403
1788253359205462410,0.178557,0.98393,0.7,0,0,0.4,-0,-0.000211157,0.00391371,-0.00164983,-0.348858,-0.00137549,0.00019251,0.000869785,-0.0776343,0.394335,0.00306892,0.805862,0.361183,0.327073,nan,nan,0,-0.0668788,0.049376,0.00306892,0.122101,0.0165606,0.0258183,nan,nan,0,-0.333719,-0.310348,-0.00306892,-0.122101,-0.47686,-0.417517,nan,nan,0,-0.205538,0.519932,0.00920582,-4.0293,0.387231,0.433694,nan,nan,0,-0.409023,-0.209567,-0.00382596,-0.782146,-0.414512,nan,-7.16733,-2.32299,1,0.395163,0.00810386,0.0408351,-1.21658,0.197582,nan,5.62308,1.55579,1,-0.38789,-0.397019,0.00920582,-0.122101,-0.593945,-0.343828,nan,nan,0,-0.683775,-0.0535946,0.00306892,0.463982,-0.391888,-0.162315,nan,nan,0,-0.325445,0.307472,-0.00306892,0.21978,0.147277,0.198718,nan,nan,0,-0.0958373,0.518398,0.00920582,-3.5409,0.442081,0.504275,nan,nan,0,-0.110796,-0.209563,-0.00382674,0.274335,-0.265398,nan,-1.9485,0.947347,1,0.234297,-0.00614118,-0.0345523,1.52683,0.117148,nan,3.75052,1.91779,1,0,0.984823,0.001784,-0.001152,-0.173544,-0.00137549,0.00019251,0.000869785,-0.027975,0.126616,9.77652
1788253359215446104,0.266037,0.963963,0.7,0,0,0.4,-0,-0.000211157,0.00390617,-0.0016532,-0.34885,0.00154959,-0.0012906,0.00335211,-0.0722807,0.394144,-0.0153437,-1.14774,0.36386,0.298441,nan,nan,0,-0.481326,0.049376,0.00306892,-0.65934,-0.190663,0.008431,nan,nan,0,-0.523822,-0.311115,-0.162642,-3.19902,-0.571911,-0.500225,nan,nan,0,-0.231552,0.520699,0.0583057,-10.3785,0.374224,0.367706,nan,nan,0,-0.489687,-0.207475,0.0613058,-2.46637,-0.454843,nan,-8.74987,-5.29038,1,0.415561,0.00923679,0.562016,0.954925,0.207781,nan,5.11329,3.71071,1,-0.567408,-0.396828,0.0214815,1.14774,-0.683704,-0.393731,nan,nan,0,-0.518472,-0.0537863,-0.0276184,-2.75946,-0.309236,-0.300713,nan,nan,0,-0.235505,0.30613,-0.23629,-2.71062,0.192248,0.117849,nan,nan,0,0.188918,0.519165,0.107405,-3.88278,0.584459,0.476108,nan,nan,0,0.0250783,-0.21164,-0.0306032,0.978593,-0.197461,nan,0.54216,0.596397,1,0.237286,-0.0124686,-0.43684,2.62299,0.118643,nan,4.5886,3.74688,1,0,0.984824,0.00178,-0.001153,-0.17354,0.00154959,-0.0012906,0.00335211,-0.02473,0.135117,9.75589
1788253359225434830,0.351375,0.936235,0.7,0,0,0.4,-0,-0.000211157,0.0039314,-0.00161229,-0.348803,0.000601982,0.0133015,0.00814877,-0.130832,0.393952,-0.0214806,-2.02686,0.334584,0.323246,nan,nan,0,-0.824602,0.0491843,-0.00306892,-1.68498,-0.362301,-0.0596176,nan,nan,0,-0.761605,-0.315526,-0.561574,-4.27351,-0.690803,-0.540029,nan,nan,0,-0.324722,0.520507,-0.0276184,-14.1392,0.327639,0.356941,nan,nan,0,-0.641183,-0.20953,-0.0841692,-4.26602,-0.530592,nan,-11.1109,-7.45531,1,0.525805,0.0218439,1.22825,2.67211,0.262902,nan,5.38938,4.75238,1,-0.0727973,-0.396828,0.0276184,-0.21978,-0.436399,-0.533342,nan,nan,0,-0.42687,-0.054553,-0.131955,-6.76434,-0.263435,-0.352406,nan,nan,0,-0.321561,0.300569,-0.76411,-2.71062,0.149219,0.127224,nan,nan,0,0.641086,0.520315,0.125817,-5.44566,0.810543,0.499311,nan,nan,0,0.0921224,-0.209541,-0.00954198,0.509624,-0.163939,nan,1.61038,0.0623742,1,0.392047,-0.012226,-0.3204,3.38767,0.196024,nan,6.72809,4.55447,1,0,0.984828,0.001796,-0.001135,-0.173517,0.000601982,0.0133015,0.00814877,-0.133277,0.112258,9.43618
1788253359235601804,0.433884,0.900969,0.7,0,0,0.4,-0,-0.000211157,0.00397585,-0.0016505,-0.34806,0.0310359,-0.0179782,0.121685,0.126066,0.393568,-0.0398932,-1.63614,0.463033,0.340105,nan,nan,0,-1.4041,0.0491843,-0.00920582,-4.12698,-0.652049,-0.197395,nan,nan,0,-0.6849,-0.322812,-0.733422,-5.0061,-0.65245,-0.604053,nan,nan,0,-0.371841,0.519932,-0.0583057,-16.5324,0.304079,0.347639,nan,nan,0,-0.797279,-0.21148,-0.338692,-7.16331,-0.60864,nan,-13.3926,-9.31113,1,0.690947,0.0393739,1.77881,4.29266,0.345473,nan,6.51477,4.97089,1,-0.580886,-0.396636,0.00306892,-2.85714,-0.690443,-0.561668,nan,nan,0,-0.417468,-0.0574293,-0.322214,-7.54578,-0.258734,-0.328764,nan,nan,0,0.0036005,0.290406,-0.90527,-1.92918,0.3118,0.147982,nan,nan,0,0.668505,0.521849,0.150367,-2.95483,0.824252,0.62059,nan,nan,0,0.128593,-0.211628,-0.0766591,0.431678,-0.145704,nan,2.42234,0.526512,1,0.191623,-0.0148254,0.11631,4.29203,0.0958115,nan,3.14464,5.38792,1,0,0.984892,0.001815,-0.001157,-0.173151,0.0310359,-0.0179782,0.121685,-0.306365,1.45078,8.74071
1788253359245404036,0.512899,0.858449,0.7,0,0,0.4,-0,-0.0627622,0.00426092,-0.0017299,-0.347258,0.0695033,-0.0189246,0.202691,0.269502,0.393185,-0.0398932,-1.5873,0.534751,0.383447,nan,nan,0,-1.94259,0.0489926,-0.0153437,-10.7692,-0.921297,-0.407244,nan,nan,0,-0.960695,-0.33029,-0.850034,-6.47131,-0.790347,-0.650301,nan,nan,0,-0.488922,0.51974,0.0214815,-18.9255,0.245539,0.327699,nan,nan,0,-0.82502,-0.21338,-0.229216,-10.0258,-0.62251,nan,-13.9757,-11.3282,1,0.924543,0.0535801,1.71352,5.55581,0.462271,nan,9.69045,5.3778,1,-0.506685,-0.396828,-0.0276184,-4.27351,-0.653343,-0.589304,nan,nan,0,-0.0414081,-0.0610723,-0.408138,-8.96215,-0.0707041,-0.288793,nan,nan,0,0.0668347,0.283695,-0.659773,-2.61295,0.343417,0.206622,nan,nan,0,0.986657,0.523958,0.273115,2.22222,0.983328,0.748709,nan,nan,0,0.0587656,-0.213717,-0.159158,0.783942,-0.180617,nan,1.39723,1.48144,1,0.0523534,-0.0144796,0.257904,5.21942,0.0261767,nan,0.832831,4.99158,1,0,0.984961,0.001949,-0.00122,-0.172756,0.0695033,-0.0189246,0.202691,-0.339119,0.90275,9.23122
1788253359255468812,0.587785,0.809017,0.7,0,0,0.4,-0,-0.0627622,0.0049161,-0.00220211,-0.344438,0.0872957,-0.0323332,0.355855,0.212351,0.393185,0.00920582,-0.903542,0.506175,0.456553,nan,nan,0,-2.60763,0.0486083,-0.0644426,-18.486,-1.25382,-0.667554,nan,nan,0,-0.919679,-0.337769,-0.69046,-9.10867,-0.769839,-0.707442,nan,nan,0,-0.589416,0.520123,0.0398932,-19.2186,0.195292,0.29202,nan,nan,0,-0.875127,-0.215318,-0.0608964,-12.1465,-0.647564,nan,-15.0372,-13.0539,1,1.09207,0.0685854,0.858944,6.69709,0.546035,nan,13.0351,7.07436,1,-0.330107,-0.397212,-0.0337563,-4.95727,-0.565054,-0.633679,nan,nan,0,0.0624957,-0.0647159,-0.322214,-9.20635,-0.0187521,-0.20292,nan,nan,0,0.12122,0.280627,-0.156505,-1.92918,0.37061,0.283167,nan,nan,0,1.08372,0.52856,0.573849,13.3089,1.03186,0.869061,nan,nan,0,-0.0123614,-0.215805,-0.236009,1.79921,-0.216181,nan,0.340851,1.88727,1,-0.0419249,-0.0103986,0.49715,4.40725,-0.0209625,nan,-1.06264,3.14702,1,0,0.985203,0.002233,-0.001506,-0.171366,0.0872957,-0.0323332,0.355855,0.596749,-0.56129,11.9673
1788253359265493464,0.657939,0.753071,0.7,0,0,0.4,-0,-0.0627622,0.00581745,-0.00270094,-0.341442,0.0820403,-0.00167784,0.184389,0.0572862,0.393376,0.0276184,0.708183,0.428643,0.50347,nan,nan,0,-2.65624,0.0472665,-0.174916,-27.5214,-1.27812,-0.964429,nan,nan,0,-1.09144,-0.343904,-0.579986,-11.0134,-0.855718,-0.755803,nan,nan,0,-0.509763,0.520123,-0.0214806,-22.3932,0.235119,0.244134,nan,nan,0,-0.798268,-0.215255,-0.109008,-12.778,-0.609134,nan,-13.6222,-14.2995,1,1.16132,0.0697649,0.100551,7.79452,0.580658,nan,15.176,10.0745,1,-0.448906,-0.397978,-0.101268,-4.61539,-0.624453,-0.625596,nan,nan,0,0.159013,-0.0670166,-0.193328,-6.56898,0.0295066,-0.0997343,nan,nan,0,0.166911,0.281202,0.181053,-0.903542,0.393455,0.340442,nan,nan,0,0.964552,0.537381,1.01574,18.5348,0.972276,0.970415,nan,nan,0,-0.136071,-0.215807,-0.230267,1.87635,-0.278036,nan,-1.83261,1.40834,1,-0.0656168,0.000215974,0.676415,2.93039,-0.0328084,nan,-2.00535,0.785694,1,0,0.985458,0.002637,-0.001825,-0.169888,0.0820403,-0.00167784,0.184389,1.83233,-1.31571,12.026
1788253359275573399,0.722795,0.691063,0.7,0,0,0.4,-0,-0.0627622,0.00598705,-0.0028465,-0.340606,-0.103776,-0.101411,-0.0110063,0.130555,0.393952,0.0705805,2.0757,0.465278,0.491082,nan,nan,0,-2.30318,0.0432396,-0.457238,-36.6544,-1.10159,-1.18704,nan,nan,0,-1.18836,-0.349657,-0.494062,-12.674,-0.904181,-0.802561,nan,nan,0,-0.561687,0.519357,-0.0583057,-27.4725,0.209156,0.221267,nan,nan,0,-0.802043,-0.217363,-0.164768,-14.6956,-0.611021,nan,-13.5309,-14.477,1,1.13815,0.0688543,-0.23004,10.6262,0.569077,nan,15.3517,13.164,1,-0.5065,-0.399704,-0.193328,-4.42002,-0.65325,-0.613138,nan,nan,0,0.221429,-0.0683589,-0.0889931,-2.27106,0.0607143,-0.0188666,nan,nan,0,0.103399,0.285037,0.389727,0.0244217,0.361699,0.376635,nan,nan,0,0.834001,0.552721,1.59266,19.6581,0.907,1.00588,nan,nan,0,-0.175019,-0.219962,-0.163256,0.897964,-0.29751,nan,-2.46929,0.0668058,1,-0.0581791,0.00367717,0.636068,0.7617,-0.0290895,nan,-1.9371,-1.09149,1,0,0.985528,0.002709,-0.00191,-0.169476,-0.103776,-0.101411,-0.0110063,0.416803,-2.22367,8.06924
1788253359285643235,0.781831,0.62349,0.7,0,0,0.4,-0,-0.0627622,0.00527644,-0.00359985,-0.340601,-0.148929,-0.168318,0.0119725,0.176601,0.394719,0.09513,1.92918,0.4883,0.469219,nan,nan,0,-2.23169,0.037487,-0.696597,-43.199,-1.06584,-1.22866,nan,nan,0,-1.00085,-0.352725,-0.266977,-15.6532,-0.810425,-0.855733,nan,nan,0,-0.577118,0.518781,-0.0705805,-29.4261,0.201441,0.214073,nan,nan,0,-0.825426,-0.219491,-0.0498541,-14.771,-0.622713,nan,-14.038,-14.0495,1,1.12503,0.0693196,-0.0788295,12.857,0.562514,nan,14.9141,15.0221,1,-0.581393,-0.402005,-0.26084,-4.12698,-0.690697,-0.625149,nan,nan,0,0.151315,-0.0687423,-0.0153437,-0.317459,0.0256576,0.0347691,nan,nan,0,0.135041,0.289639,0.537024,0.512817,0.37752,0.383451,nan,nan,0,0.741588,0.569978,2.04069,18.4371,0.860794,0.976573,nan,nan,0,-0.175156,-0.219957,-0.144002,0.312231,-0.297578,nan,-2.50072,-1.41882,1,-0.0438856,0.0101694,0.409337,-0.404593,-0.0219428,nan,-1.57737,-1.99685,1,0,0.985529,0.002295,-0.002221,-0.169473,-0.148929,-0.168318,0.0119725,1.46455,-2.6182,8.67544
