timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,active_stage,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1788247989315928808,0.0896393,0.995974,0.7,0,0,0.4,-0,-0.000177291,0.014726,0.00065897,0.53673,-0.00129397,0.0020039,-0.000756164,-1.10329,0.395486,0.00920582,1.39194,-0.151643,0.394211,nan,nan,0,-0.536305,0.05091,0.00920582,-0.21978,-0.218153,0.0502832,nan,nan,0,-0.818819,-0.310732,0.0153437,0.21978,-0.71941,-0.311684,nan,nan,0,-0.594778,0.51437,0.00306892,-7.00854,0.192611,0.513621,nan,nan,0,-0.346483,-0.209562,-0.00191547,0.470948,-0.383242,nan,-6.0759,-0.0141536,1,0.410322,0.00673033,-5.7899e-07,-4.79517,0.205161,nan,5.95292,0.0138671,1,1.16322,-0.397978,0.00306892,-0.21978,0.181608,-0.396628,nan,nan,0,-0.288185,-0.0535946,0.00920582,0.952377,-0.194092,-0.0539219,nan,nan,0,-0.615257,0.307472,0.00920582,0.805862,0.00237131,0.306762,nan,nan,0,-0.0581268,0.519165,0.00306892,-9.05983,0.460937,0.519029,nan,nan,0,-0.222241,-0.209563,3.49365e-07,-0.155128,-0.32112,nan,-3.90451,-0.00909541,1,0.35548,-0.00790764,-0.00314144,4.60425,0.17774,nan,5.57414,0.0129847,1,0,0.96418,0.007012,0.00227,0.265146,-0.00129397,0.0020039,-0.000756164,-0.006921,0.126991,9.74487
1788247989325284138,0.178557,0.98393,0.7,0,0,0.4,-0,-0.000177291,0.0146851,0.000653586,0.536734,-0.00390332,-0.00106575,0.00186448,-0.352746,0.395678,0.0337563,2.8083,0.223627,0.217371,nan,nan,0,-0.339367,0.05091,0.00920582,0.317459,-0.119683,-0.0368824,nan,nan,0,-0.0940942,-0.310732,0.0214815,0.463982,-0.357047,-0.443584,nan,nan,0,-0.512001,0.514754,0.11968,1.14774,0.233999,0.409206,nan,nan,0,-0.572027,-0.209562,-0.00956756,-0.273475,-0.496013,nan,-10.0115,-1.99718,1,0.43825,0.00692655,0.0816688,-1.33592,0.219125,nan,6.24346,1.94668,1,0.201173,-0.397787,0.0521679,2.36874,-0.299414,-0.209492,nan,nan,0,-0.731051,-0.053019,0.11968,2.61295,-0.415525,-0.100073,nan,nan,0,-0.174591,0.308239,0.181053,1.19658,0.222705,0.208174,nan,nan,0,-0.0828127,0.518973,-0.09513,-4.61539,0.448594,0.500087,nan,nan,0,-0.307918,-0.211641,-0.120636,-0.0392552,-0.363959,nan,-5.15016,-1.28072,1,0.167442,-0.0130575,-0.659952,-0.4292,0.083721,nan,3.89328,1.84947,1,0,0.964179,0.006993,0.002262,0.265148,-0.00390332,-0.00106575,0.00186448,-0.018603,0.106021,9.74861
1788247989335503063,0.266037,0.963963,0.7,0,0,0.4,-0,-0.000177291,0.0146351,0.000652434,0.536786,-0.00339035,0.00406192,0.0259586,-0.300905,0.395678,-0.0214806,-2.0757,0.249548,0.11434,nan,nan,0,-0.563671,0.05091,-0.0153437,-1.68498,-0.231835,-0.1158,nan,nan,0,-0.264321,-0.311499,-0.181053,-3.19902,-0.442161,-0.494133,nan,nan,0,-0.404942,0.517631,0.254703,-10.1832,0.287529,0.290464,nan,nan,0,-0.430907,-0.209546,0.00390538,-1.36965,-0.425453,nan,-7.56263,-5.75497,1,0.532031,0.0134038,0.744474,0.620401,0.266015,nan,6.46164,4.31849,1,-0.0261831,-0.397019,0.09513,3.5409,-0.413092,-0.127668,nan,nan,0,-0.317969,-0.0520606,0.0644436,0.903542,-0.208985,-0.22929,nan,nan,0,-0.20491,0.306705,-0.346765,-0.65934,0.207545,0.154246,nan,nan,0,-0.124247,0.519165,0.0889931,-4.42002,0.427876,0.472086,nan,nan,0,-0.0347356,-0.211598,0.0116329,-1.44699,-0.227368,nan,-0.569401,-3.31253,1,0.322327,-0.0258224,-1.26663,1.19199,0.161163,nan,7.50951,3.88427,1,0,0.964172,0.006969,0.002255,0.265173,-0.00339035,0.00406192,0.0259586,0.129644,0.0067,9.49733
1788247989345334980,0.351375,0.936235,0.7,0,0,0.4,-0,-0.000177291,0.0145332,0.000639251,0.537327,-0.0160595,-0.0116151,0.0542746,-0.375888,0.395102,-0.101268,-5.39683,0.212056,0.151557,nan,nan,0,-0.714311,0.0503349,-0.0583057,-4.37119,-0.307156,-0.173596,nan,nan,0,-0.449523,-0.316292,-0.622948,-3.34554,-0.534762,-0.466678,nan,nan,0,-0.40648,0.518589,0.0337563,-17.6557,0.28676,0.251105,nan,nan,0,-0.287606,-0.211586,-0.197161,-4.2648,-0.353803,nan,-4.68186,-7.92265,1,0.526712,0.0254298,1.3011,3.14786,0.263356,nan,5.18614,5.62896,1,0.289614,-0.395485,0.193329,4.71307,-0.255193,-0.229154,nan,nan,0,-0.14653,-0.0522523,-0.0521679,-2.36874,-0.123265,-0.285268,nan,nan,0,-0.308028,0.301145,-0.71501,-1.5873,0.155986,0.16986,nan,nan,0,0.0446692,0.520123,0.125817,-6.12943,0.512335,0.447129,nan,nan,0,-0.0752948,-0.211541,-0.0478098,-2.93378,-0.247647,nan,-1.192,-3.25874,1,0.479204,-0.0334816,-0.641161,2.43163,0.239602,nan,9.15425,5.67383,1,0,0.964101,0.006921,0.002237,0.265434,-0.0160595,-0.0116151,0.0542746,-0.038952,-0.038926,8.09273
1788247989355346595,0.433884,0.900969,0.7,0,0,0.4,-0,-0.000177291,0.0142221,-1.73804e-05,0.537562,-0.0484374,-0.14517,0.0602646,-0.211374,0.393185,-0.205604,-5.20146,0.294313,0.196979,nan,nan,0,-0.856693,0.049376,-0.107405,-8.81563,-0.378347,-0.241087,nan,nan,0,-0.341947,-0.32262,-0.469513,-3.73627,-0.480973,-0.477899,nan,nan,0,-0.434371,0.516863,-0.193328,-23.8584,0.272815,0.259222,nan,nan,0,-0.596037,-0.215579,-0.545433,-7.66971,-0.508018,nan,-9.41724,-7.19868,1,0.603761,0.0440132,1.97516,5.07642,0.30188,nan,4.77328,5.59393,1,-0.283708,-0.39261,0.309939,2.36874,-0.541854,-0.293943,nan,nan,0,-0.493978,-0.0541697,-0.217878,-5.68987,-0.296989,-0.233749,nan,nan,0,-0.199244,0.291365,-0.935957,-0.415138,0.210378,0.175613,nan,nan,0,0.112028,0.521849,0.156505,-8.86447,0.546014,0.459111,nan,nan,0,-0.107233,-0.211539,-0.218452,-2.50222,-0.263616,nan,-1.49505,-2.07318,1,0.39483,-0.028572,0.606638,4.22013,0.197415,nan,5.86966,7.24643,1,0,0.96407,0.006858,0.00188,0.26555,-0.0484374,-0.14517,0.0602646,0.451082,0.687543,9.20061
1788247989365344553,0.512899,0.858449,0.7,0,0,0.4,-0,-0.0481885,0.0138176,-0.00213808,0.538993,0.0548062,-0.158737,0.202128,0.120904,0.390691,-0.242428,-3.98046,0.460452,0.242631,nan,nan,0,-1.38952,0.0482249,-0.107405,-12.0879,-0.644759,-0.313915,nan,nan,0,-0.391561,-0.324346,-0.0276184,-5.78754,-0.505781,-0.491255,nan,nan,0,-0.296628,0.514754,-0.187191,-24.2979,0.341686,0.270414,nan,nan,0,-0.597766,-0.219511,-0.316933,-8.38217,-0.508883,nan,-9.65262,-7.23965,1,0.715184,0.0608589,1.55177,6.55073,0.357592,nan,6.57434,5.0415,1,-0.6817,-0.389158,0.352901,0.854698,-0.74085,-0.384326,nan,nan,0,-0.255555,-0.0570459,-0.316077,-4.81075,-0.177778,-0.222921,nan,nan,0,-0.0877833,0.282928,-0.739559,-1.44078,0.266108,0.185153,nan,nan,0,0.326776,0.523383,0.150367,-7.64347,0.653388,0.49951,nan,nan,0,-0.0649978,-0.215774,-0.291827,-2.30167,-0.242499,nan,-0.497626,-1.3618,1,0.341317,-0.0166888,1.47555,6.52662,0.170658,nan,3.4071,7.09419,1,0,0.963879,0.006944,0.000809,0.266247,0.0548062,-0.158737,0.202128,2.93651,-1.13816,11.788
1788247989375449971,0.587785,0.809017,0.7,0,0,0.4,-0,-0.0481885,0.0148309,-0.00447791,0.540997,0.202576,-0.148859,0.213729,-0.0548227,0.388007,-0.291528,-2.85714,0.372589,0.333111,nan,nan,0,-2.23949,0.0474582,-0.0705805,-15.0672,-1.06975,-0.451127,nan,nan,0,-0.70945,-0.323387,0.09513,-6.08059,-0.664725,-0.497873,nan,nan,0,-0.386831,0.51322,-0.162642,-22.3443,0.296584,0.296629,nan,nan,0,-0.587027,-0.221473,-0.04542,-8.0339,-0.503513,nan,-9.8033,-8.46887,1,0.922143,0.0725401,0.614326,6.19077,0.461071,nan,10.7345,5.47879,1,-0.472273,-0.385323,0.402001,-1.00122,-0.636137,-0.548596,nan,nan,0,-0.0449501,-0.0601139,-0.291528,-6.86203,-0.0724751,-0.217812,nan,nan,0,-0.0024342,0.279668,-0.156505,-3.2967,0.308783,0.218161,nan,nan,0,0.621655,0.525301,0.181053,-3.2967,0.800828,0.567582,nan,nan,0,-0.0761471,-0.217888,-0.272737,-1.3249,-0.248074,nan,-0.647396,-0.90839,1,0.256535,-0.00179064,1.58945,7.02403,0.128267,nan,1.51756,5.35857,1,0,0.963604,0.007744,-0.000176,0.26722,0.202576,-0.148859,0.213729,3.67007,1.54307,14.1256
1788247989385328531,0.657939,0.753071,0.7,0,0,0.4,-0,-0.0481885,0.0157589,-0.00620449,0.54382,0.00895333,-0.0352946,0.356006,0.027619,0.385323,-0.303802,-0.708183,0.41381,0.3895,nan,nan,0,-2.5211,0.0463076,-0.150367,-17.6068,-1.21055,-0.718726,nan,nan,0,-0.714307,-0.323004,0.0153437,-5.83639,-0.667154,-0.555113,nan,nan,0,-0.396006,0.511494,-0.168779,-19.9023,0.291997,0.310565,nan,nan,0,-0.654575,-0.221463,0.0363783,-8.30795,-0.537288,nan,-11.1084,-9.47244,1,1.06183,0.0739181,-0.0188213,6.07182,0.530917,nan,13.7382,7.69383,1,-0.644078,-0.38168,0.408138,-3.83395,-0.722039,-0.649611,nan,nan,0,0.0346451,-0.0624146,-0.230153,-7.25275,-0.0326775,-0.162448,nan,nan,0,0.10327,0.280052,0.0583057,-1.97802,0.361635,0.263873,nan,nan,0,0.903403,0.527218,0.230153,-0.610504,0.941702,0.674812,nan,nan,0,-0.0555962,-0.219953,-0.33981,-0.897632,-0.237798,nan,-0.114849,-0.621081,1,0.0817251,0.0135137,1.59321,5.42646,0.0408625,nan,-1.56935,3.22923,1,0,0.963218,0.008423,-0.000872,0.268586,0.00895333,-0.0352946,0.356006,1.56613,-2.14893,10.8324
1788247989395334472,0.722795,0.691063,0.7,0,0,0.4,-0,-0.0481885,0.015198,-0.00663635,0.545847,-0.143756,-0.0129,0.458879,0.0654812,0.382446,-0.273115,-0.21978,0.432741,0.408335,nan,nan,0,-2.50587,0.0434313,-0.365176,-24.9817,-1.20293,-1.00294,nan,nan,0,-0.59727,-0.324538,-0.26084,-6.91087,-0.608635,-0.623808,nan,nan,0,-0.404765,0.50996,-0.174916,-18.1929,0.287618,0.305553,nan,nan,0,-0.663292,-0.221476,-0.0748211,-9.24993,-0.541646,nan,-11.0937,-10.3072,1,1.12399,0.0721466,-0.119911,7.69026,0.561995,nan,14.8753,10.8653,1,-0.89431,-0.378419,0.291528,-6.17827,-0.847155,-0.695791,nan,nan,0,0.188975,-0.0639486,-0.113543,-6.2271,0.0444877,-0.0914287,nan,nan,0,0.138615,0.280243,0.0276184,-0.903542,0.379308,0.314408,nan,nan,0,1.02494,0.530286,0.365176,6.56898,1.00247,0.8091,nan,nan,0,-0.0906857,-0.224038,-0.41257,-0.431498,-0.255343,nan,-0.476829,-0.334261,1,0.0516915,0.0286063,1.57541,3.51947,0.0258457,nan,-2.44594,0.757378,1,0,0.962946,0.008212,-0.001147,0.269563,-0.143756,-0.0129,0.458879,1.57338,-1.55038,9.94006
1788247989405289831,0.781831,0.62349,0.7,0,0,0.4,-0,-0.0481885,0.0130453,-0.00722597,0.550542,-0.225247,-0.14741,0.397179,0.308304,0.379954,-0.23629,0.0244217,0.554152,0.422065,nan,nan,0,-2.40546,0.0372953,-0.71501,-33.7729,-1.15273,-1.172,nan,nan,0,-0.601714,-0.328756,-0.432689,-9.05983,-0.610857,-0.642889,nan,nan,0,-0.478076,0.508235,-0.131955,-20.4884,0.250962,0.296131,nan,nan,0,-0.665194,-0.221456,-0.0919276,-10.5097,-0.542597,nan,-11.102,-10.8776,1,1.15749,0.0703751,0.0281234,10.4522,0.578745,nan,15.2089,13.4488,1,-0.873222,-0.37631,0.162642,-7.39927,-0.836611,-0.760676,nan,nan,0,0.319718,-0.064332,0.00306892,-3.24786,0.109859,-0.0198788,nan,nan,0,0.160074,0.281777,0.248566,-0.0732574,0.390037,0.355797,nan,nan,0,0.926774,0.535655,0.708872,13.7973,0.953387,0.926903,nan,nan,0,-0.142507,-0.230116,-0.437409,0.192999,-0.281254,nan,-1.13372,-0.216674,1,0.066913,0.0413348,1.25813,1.09241,0.0334565,nan,-2.12355,-1.34856,1,0,0.962318,0.007259,-0.001704,0.271823,-0.225247,-0.14741,0.397179,-1.14972,-0.462899,7.8547
