timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,active_stage,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1788248518753213729,0,1,0.7,0,0,0,0,0,0.0344937,-0.0200449,0.371449,0.00106579,0.000134722,-0.00200133,-0.333793,0.394335,0.00306892,2.36874,0.233103,0.39396,nan,nan,0,-0.390721,0.0507183,0.00306892,-0.122101,-0.145361,0.0502615,nan,nan,0,-0.124672,-0.311882,0.00306892,0.65934,-0.372336,-0.312023,nan,nan,0,-0.571323,0.518206,0.00306892,-8.18071,0.204339,0.517475,nan,nan,0,0.0357257,-0.209565,-3.58896e-07,-0.429118,-0.192137,nan,0.609982,0.00142093,1,0.237601,0.00653362,-0.00314144,-4.10324,0.1188,nan,3.37271,0.0078566,1,0.408488,-0.394144,0.00306892,-1.8315,-0.195756,-0.393681,nan,nan,0,0.0749593,-0.0537863,0.00306892,1.53846,-0.0125203,-0.0536902,nan,nan,0,-0.128097,0.306897,0.00306892,1.14774,0.245951,0.306755,nan,nan,0,-0.425866,0.523767,-0.00306892,-9.93895,0.277067,0.523192,nan,nan,0,0.13408,-0.209565,3.44974e-07,-1.87668,-0.14296,nan,2.33119,0.00543041,1,-0.0116192,-0.00947788,-0.00314144,4.69948,-0.00580958,nan,0.114761,0.000267332,1,0,0.982575,0.018799,-0.006664,0.184792,0.00106579,0.000134722,-0.00200133,0.078325,0.130201,9.75036
1788248518762588747,0,1,0.7,0,0,0,0,0,0.0345028,-0.0200403,0.371439,0.00119103,-0.00293945,0.00037104,-0.142146,0.394335,0.00306892,0.805862,0.328927,0.341813,nan,nan,0,-0.0978713,0.0507183,0.00306892,-0.0732574,0.00106435,-0.0130864,nan,nan,0,0.0630539,-0.31169,0.00306892,0.65934,-0.278473,-0.33144,nan,nan,0,-0.439047,0.518206,0.00306892,-4.95727,0.270477,0.415681,nan,nan,0,0.0180399,-0.209565,0.0153293,0.196022,-0.20098,nan,0.277486,0.198665,1,0.200805,0.00673033,0.0596881,-1.28826,0.100402,nan,2.72063,1.10212,1,0.162086,-0.393951,0.00920582,-0.512817,-0.318957,-0.32953,nan,nan,0,-0.0323644,-0.0537863,0.00920582,0.708183,-0.0661822,-0.0404114,nan,nan,0,-0.0830721,0.306897,-0.0276184,0.561661,0.268464,0.287011,nan,nan,0,-0.262555,0.523767,0.00920582,-4.51771,0.358723,0.443251,nan,nan,0,0.0533317,-0.207479,0.0363885,-0.273883,-0.183334,nan,0.790472,0.758535,1,-0.0920149,-0.0066867,-0.169552,0.525073,-0.0460075,nan,-0.925295,0.0365633,1,0,0.982575,0.018803,-0.006661,0.184787,0.00119103,-0.00293945,0.00037104,0.09128,0.140565,9.75281
1788248518772600127,0,1,0.7,0,0,0,0,0,0.0344839,-0.0200533,0.371453,0.00224774,0.000691587,0.00218678,-0.138267,0.394144,-0.0153437,-0.903542,0.330866,0.306642,nan,nan,0,-0.0378281,0.0507183,-0.00920582,-1.63614,0.0310859,-0.046085,nan,nan,0,0.081881,-0.312074,-0.046031,-0.122101,-0.269059,-0.32579,nan,nan,0,-0.325022,0.518589,0.0337563,-10.5739,0.327489,0.308231,nan,nan,0,0.0638731,-0.209556,0.0785928,-0.0782094,-0.178063,nan,0.984342,0.331938,1,0.199435,0.0126184,0.678531,-0.166985,0.0997174,nan,1.59517,2.15297,1,0.0901456,-0.39376,0.0276184,1.29426,-0.354927,-0.288052,nan,nan,0,0.00860229,-0.0537863,0.00920582,0.757019,-0.0456989,-0.0408249,nan,nan,0,-0.0757225,0.305747,-0.162642,0.268623,0.272139,0.269271,nan,nan,0,-0.308945,0.524342,0.0644426,-9.49939,0.335528,0.368275,nan,nan,0,0.156378,-0.207464,0.172326,0.274148,-0.131811,nan,2.38936,1.19644,1,-0.0482988,-0.0159075,-0.88228,0.763788,-0.0241494,nan,1.07616,-0.0719139,1,0,0.982574,0.018795,-0.006669,0.184794,0.00224774,0.000691587,0.00218678,0.136882,0.154125,9.72711
1788248518782559014,0,1,0.7,0,0,0,0,0,0.0346061,-0.0198245,0.371485,0.0253557,0.0381057,0.00578788,-0.0270422,0.39376,-0.0337563,-2.61295,0.386479,0.309843,nan,nan,0,-0.0522707,0.0503349,-0.0398932,-2.36874,0.0238646,-0.0210904,nan,nan,0,0.0378369,-0.312266,0.00306892,-0.366302,-0.291082,-0.298045,nan,nan,0,-0.216417,0.517823,-0.125817,-18.0464,0.381792,0.282118,nan,nan,0,0.144787,-0.207435,0.178033,-0.235021,-0.137606,nan,2.17694,0.530796,1,0.179824,0.0219889,1.19938,1.36047,0.089912,nan,0.238617,2.07597,1,0.119172,-0.393376,0.0644436,1.78266,-0.340414,-0.304883,nan,nan,0,0.0777144,-0.0537863,0.00306892,0.512817,-0.0111428,-0.0466971,nan,nan,0,-0.0837523,0.303445,-0.248566,-0.0244217,0.268124,0.265741,nan,nan,0,-0.234364,0.524342,-0.0521679,-14.3346,0.372818,0.337849,nan,nan,0,0.133915,-0.205336,0.265802,0.626817,-0.143042,nan,1.78158,1.57593,1,-0.0584286,-0.0272327,-1.13598,0.214881,-0.0292143,nan,1.64451,0.398797,1,0,0.982572,0.018834,-0.006545,0.184808,0.0253557,0.0381057,0.00578788,0.048651,0.160191,8.43915
1788248518792559943,0,1,0.7,0,0,0,0,0,0.03496,-0.0195772,0.371464,0.0268775,-0.0214184,-0.0113915,-0.126973,0.393185,-0.0644426,-1.19658,0.336514,0.338979,nan,nan,0,-0.0243969,0.0497594,-0.0644426,-2.27106,0.0378015,0.00843222,nan,nan,0,0.0915885,-0.311882,0.0398932,0.268623,-0.264206,-0.284087,nan,nan,0,-0.307745,0.515713,-0.254703,-20,0.336128,0.315722,nan,nan,0,0.0484149,-0.205268,0.259832,0.274969,-0.185793,nan,0.291887,1.14466,1,0.196351,0.0380179,1.49058,1.57603,0.0981757,nan,-0.431137,1.14903,1,0.0344058,-0.39261,0.0889931,1.92918,-0.382797,-0.329059,nan,nan,0,-0.0393452,-0.053978,-0.00920582,0.757019,-0.0696726,-0.0365256,nan,nan,0,-0.117041,0.300186,-0.365176,0.317459,0.25148,0.266695,nan,nan,0,-0.264294,0.523,-0.14423,-16.7766,0.357853,0.341397,nan,nan,0,0.0838471,-0.203204,0.336115,1.25484,-0.168076,nan,0.725277,1.81696,1,-0.0827328,-0.0389381,-0.931383,-0.0241998,-0.0413664,nan,1.32423,1.1263,1,0,0.982572,0.018985,-0.006391,0.184797,0.0268775,-0.0214184,-0.0113915,-0.389284,0.652199,8.63346
1788248518802647371,0,1,0.7,0,0,0,0,0,0.0351775,-0.0199947,0.37136,0.0292039,-0.0461168,-0.000476859,-0.0018728,0.392225,-0.101268,-0.952377,0.399064,0.353406,nan,nan,0,0.0580091,0.0491843,-0.046031,-2.12454,0.0790045,0.0278672,nan,nan,0,0.0838389,-0.310732,0.181053,0.122101,-0.268081,-0.275406,nan,nan,0,-0.260142,0.512453,-0.291528,-17.7534,0.359929,0.341712,nan,nan,0,0.0357827,-0.203076,0.417709,0.198275,-0.192109,nan,-0.242691,1.13076,1,0.208243,0.0532459,1.36098,1.91119,0.104122,nan,-0.515191,0.110279,1,-0.0432137,-0.391651,0.101268,1.39194,-0.421607,-0.354431,nan,nan,0,-0.0776349,-0.0541697,-0.0276184,0.854698,-0.0888175,-0.0406099,nan,nan,0,-0.143018,0.295967,-0.4511,0.708183,0.238491,0.262186,nan,nan,0,-0.274072,0.521466,-0.181053,-15.2625,0.352964,0.35289,nan,nan,0,0.026776,-0.198985,0.329942,2.15896,-0.196612,nan,-0.411866,1.45707,1,-0.110551,-0.0439067,-0.500908,0.429458,-0.0552757,nan,0.410292,1.39719,1,0,0.982577,0.01913,-0.006577,0.18475,0.0292039,-0.0461168,-0.000476859,0.871591,-0.218207,11.8465
1788248518814005655,0,1,0.7,0,0,0,0,0,0.0352831,-0.0203607,0.371472,0.0350713,0.0706362,0.0238332,-0.230218,0.390883,-0.125817,-0.170937,0.284891,0.368667,nan,nan,0,0.00644466,0.0488005,-0.0276184,-1.00122,0.0532223,0.050849,nan,nan,0,0.0863391,-0.30728,0.359039,-0.0244217,-0.26683,-0.269022,nan,nan,0,-0.287609,0.509768,-0.266977,-13.3089,0.346195,0.352995,nan,nan,0,0.0576099,-0.196758,0.474455,1.61518,-0.181195,nan,-0.166992,0.444737,1,0.206413,0.0579323,0.199393,1.48484,0.103207,nan,1.05913,-0.325645,1,0.118854,-0.3905,0.107406,0.561661,-0.340573,-0.387049,nan,nan,0,-0.076567,-0.0543613,-0.00306892,0.268623,-0.0882835,-0.0621788,nan,nan,0,-0.128842,0.291749,-0.309939,0.21978,0.245579,0.251594,nan,nan,0,-0.259206,0.518973,-0.273115,-13.1624,0.360397,0.356564,nan,nan,0,0.0899889,-0.196913,0.187062,1.92442,-0.165006,nan,0.836171,0.62813,1,-0.115207,-0.0448217,0.216394,0.381708,-0.0576034,nan,-0.708042,0.964162,1,0,0.982563,0.019216,-0.006746,0.184808,0.0350713,0.0706362,0.0238332,0.854811,-0.138863,13.2272
1788248518822601971,0,1,0.7,0,0,0,0,0,0.0359521,-0.0187972,0.371991,0.0608947,0.139848,0.0894843,-0.248934,0.389541,-0.162642,0.610504,0.275533,0.350213,nan,nan,0,0.0255147,0.0488005,0.00920582,-0.708183,0.0627574,0.0619743,nan,nan,0,0.1059,-0.304788,0.230153,0.463982,-0.25705,-0.266574,nan,nan,0,-0.221545,0.507084,-0.316077,-11.3553,0.379228,0.354772,nan,nan,0,0.116424,-0.194736,0.265348,0.945661,-0.151788,nan,1.10516,-0.0615826,1,0.199565,0.0559047,-0.557823,0.695142,0.0997826,nan,2.15307,0.276034,1,0.184174,-0.389349,0.131955,-0.463982,-0.307913,-0.385603,nan,nan,0,-0.0158944,-0.0543613,0.00920582,0.170937,-0.0579472,-0.0803342,nan,nan,0,-0.084256,0.290022,-0.150367,-0.610504,0.267872,0.244906,nan,nan,0,-0.23525,0.515905,-0.352901,-12.7228,0.372375,0.358128,nan,nan,0,0.162443,-0.194856,0.0765463,1.06,-0.128779,nan,2.19788,0.346628,1,-0.140742,-0.0386946,0.466475,0.66978,-0.0703712,nan,-1.65001,0.0407291,1,0,0.982519,0.019402,-0.005911,0.185053,0.0608947,0.139848,0.0894843,-1.90797,0.847696,10.7117
1788248518832549871,0,1,0.7,0,0,0,0,0,0.0363158,-0.0172417,0.373547,-0.0173864,0.0635054,0.200317,-0.21321,0.387815,-0.162642,-0.0244217,0.293395,0.310472,nan,nan,0,0.0464187,0.0489926,0.0153437,0.268623,0.0732094,0.063489,nan,nan,0,0.151747,-0.303445,0.101268,0.805862,-0.234126,-0.262869,nan,nan,0,-0.271364,0.503249,-0.365176,-11.9414,0.354318,0.361661,nan,nan,0,0.0573606,-0.192721,0.113108,0.433543,-0.18132,nan,0.229383,0.220168,1,0.217042,0.0466466,-0.844873,0.383649,0.108521,nan,3.12354,1.40578,1,0.144304,-0.387815,0.150368,0.170937,-0.327848,-0.352442,nan,nan,0,-0.0742065,-0.0543613,-0.00306892,-0.561661,-0.0871032,-0.078874,nan,nan,0,-0.0371476,0.288681,-0.168779,-0.757019,0.291426,0.250919,nan,nan,0,-0.264564,0.512453,-0.408138,-11.746,0.357718,0.363492,nan,nan,0,0.0821802,-0.196991,-0.028451,0.549755,-0.16891,nan,1.02552,0.995549,1,-0.123291,-0.0381683,0.344448,0.0715139,-0.0616453,nan,-1.22098,-0.93106,1,0,0.98238,0.019441,-0.005098,0.185806,-0.0173864,0.0635054,0.200317,-1.88987,-0.178329,7.26398
1788248518842531025,0,1,0.7,0,0,0,0,0,0.0362227,-0.0164574,0.375452,-0.0124723,0.00121227,0.168851,-0.0572456,0.386089,-0.174916,-1.3431,0.371377,0.289546,nan,nan,0,0.0433982,0.0489926,0.0153437,0.65934,0.0716991,0.066894,nan,nan,0,0.120181,-0.303254,-0.00306892,1.53846,-0.249909,-0.251672,nan,nan,0,-0.289143,0.499606,-0.340627,-11.6972,0.345429,0.363884,nan,nan,0,0.0348653,-0.190693,0.0652542,0.237394,-0.192567,nan,-0.163475,0.469707,1,0.225097,0.0368127,-0.672304,0.695283,0.112548,nan,3.28052,2.46722,1,0.0657298,-0.386473,0.14423,0.170937,-0.367135,-0.328967,nan,nan,0,-0.0806102,-0.0543613,0.00306892,-0.561661,-0.0903051,-0.0776831,nan,nan,0,-0.0569905,0.286763,-0.174916,-0.561661,0.281505,0.268393,nan,nan,0,-0.298676,0.508043,-0.383589,-13.1136,0.340662,0.364374,nan,nan,0,0.0188134,-0.196998,-0.0152219,0.746694,-0.200593,nan,-0.102994,1.38779,1,-0.118364,-0.0358204,0.0970628,-0.431063,-0.0591822,nan,-0.846448,-1.35306,1,0,0.982208,0.019327,-0.004703,0.186735,-0.0124723,0.00121227,0.168851,-1.51518,0.554451,8.61643
