timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,active_stage,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1788248635512068446,0,1,0.7,0,0,0,0,0,0.0569792,-0.00871781,0.224008,-0.000602924,0.000519235,0.00113647,-0.353187,0.393185,0.00306892,1.68498,0.223407,0.392789,nan,nan,0,-0.378757,0.0445819,0.00306892,1.5873,-0.139378,0.0441534,nan,nan,0,-0.115152,-0.312649,0.00306892,1.05006,-0.367576,-0.312777,nan,nan,0,-0.486656,0.512836,0.00920582,-6.61783,0.246672,0.512216,nan,nan,0,0.0742377,-0.209567,-3.68785e-07,0.666108,-0.172881,nan,1.28399,0.00299101,1,0.234723,0.00358985,-0.00314145,-3.14911,0.117362,nan,3.41787,0.00796179,1,0.453723,-0.39817,0.00306892,-0.610504,-0.173138,-0.397646,nan,nan,0,0.124963,-0.0532107,0.00306892,0.805862,0.0124817,-0.0530577,nan,nan,0,-0.105476,0.304979,0.00306892,1.68498,0.257262,0.304868,nan,nan,0,-0.464181,0.523958,0.00306892,-10.5739,0.257909,0.523338,nan,nan,0,0.174373,-0.209572,-3.93965e-07,-0.234319,-0.122813,nan,3.03656,0.00707355,1,0.021079,-0.00182342,0.00314142,1.26436,0.0105395,nan,0.366176,0.000852992,1,0,0.993307,0.028794,-0.001146,0.111847,-0.000602924,0.000519235,0.00113647,-0.009103,0.132314,9.75197
1788248635521506272,0,1,0.7,0,0,0,0,0,0.0569452,-0.00871583,0.224002,-0.000531994,0.00229965,0.00185984,-0.166387,0.393185,0.00306892,1.00122,0.316806,0.337861,nan,nan,0,-0.0840721,0.0445819,0.00306892,1.3431,0.00796394,-0.0152561,nan,nan,0,0.0486121,-0.312649,-0.00306892,0.415138,-0.285694,-0.330427,nan,nan,0,-0.396345,0.512836,0.00306892,-3.68742,0.291828,0.425868,nan,nan,0,0.0638504,-0.209567,3.68785e-07,0.196076,-0.178075,nan,1.10221,0.419913,1,0.200066,0.00358985,0.00314145,-1.4314,0.100033,nan,2.88858,1.11649,1,0.215702,-0.39817,-0.00306892,0.0732574,-0.292149,-0.32483,nan,nan,0,0.0153378,-0.0532107,0.00306892,0.415138,-0.0423311,-0.0318476,nan,nan,0,-0.0876026,0.304979,-0.00306892,1.00122,0.266199,0.28939,nan,nan,0,-0.278237,0.523958,0.00920582,-5.34798,0.350881,0.437139,nan,nan,0,0.0955837,-0.209572,0.00191599,-0.15628,-0.162208,nan,1.65487,0.990248,1,-0.0612758,-0.00182342,-0.006283,0.644104,-0.0306379,nan,-0.85501,0.120353,1,0,0.993308,0.028777,-0.001147,0.111844,-0.000531994,0.00229965,0.00185984,-0.014656,0.140523,9.75468
1788248635531419041,0,1,0.7,0,0,0,0,0,0.0569064,-0.00870318,0.223994,-0.00255047,-0.000935584,-0.00358468,-0.167791,0.392993,-0.00920582,-0.610504,0.316104,0.298382,nan,nan,0,-0.0053661,0.0443902,-0.0214806,-1.14774,0.0473169,-0.0429517,nan,nan,0,0.0686738,-0.313224,-0.0767183,-0.170937,-0.275663,-0.326394,nan,nan,0,-0.296834,0.51322,0.0214815,-10.1343,0.341583,0.331202,nan,nan,0,0.104686,-0.209563,-0.00570902,0.508551,-0.157657,nan,1.82527,0.893696,1,0.194002,0.00594496,0.326686,0.238506,0.0970012,nan,2.24166,2.28828,1,0.13832,-0.397978,0.0153437,1.29426,-0.33084,-0.271041,nan,nan,0,0.0388989,-0.0532107,0.00306892,0.708183,-0.0305505,-0.0226108,nan,nan,0,-0.0815099,0.30402,-0.125817,0.0244217,0.269245,0.272678,nan,nan,0,-0.325406,0.524725,0.0889931,-11.5507,0.327297,0.357881,nan,nan,0,0.211772,-0.20749,0.0325556,0.665472,-0.104114,nan,3.56932,1.79135,1,0.00595918,0.000768241,-0.0879227,0.143276,0.00297959,nan,0.198225,-0.106846,1,0,0.993309,0.028757,-0.001143,0.11184,-0.00255047,-0.000935584,-0.00358468,-0.022726,0.144805,9.74314
1788248635541444273,0,1,0.7,0,0,0,0,0,0.0568882,-0.00865009,0.22397,0.00607949,0.000535013,-0.00335604,-0.0164326,0.39261,-0.046031,-2.0757,0.391784,0.297816,nan,nan,0,-0.00201827,0.0438147,-0.0705805,-1.97802,0.0489909,-0.0117501,nan,nan,0,0.0246761,-0.314183,-0.0767183,0.0244217,-0.297662,-0.302108,nan,nan,0,-0.191399,0.512453,-0.101268,-15.9951,0.3943,0.305036,nan,nan,0,0.160382,-0.209548,0.0383758,0.703766,-0.129809,nan,2.73331,1.3601,1,0.18001,0.0118335,0.681657,1.88457,0.090005,nan,1.32266,2.51374,1,0.148408,-0.397595,0.046031,2.85714,-0.325796,-0.280947,nan,nan,0,0.090037,-0.053019,0.0153437,1.5873,-0.00498148,-0.0262042,nan,nan,0,-0.0936494,0.301911,-0.248566,0.122101,0.263175,0.266389,nan,nan,0,-0.255994,0.524917,-0.0337563,-15.3114,0.362003,0.32754,nan,nan,0,0.173165,-0.209572,0.10728,1.56501,-0.123417,nan,2.8545,2.53759,1,0.0134398,-0.00555253,-0.179083,-0.0236653,0.00671989,nan,0.636798,-0.130814,1,0,0.993311,0.028745,-0.001118,0.111827,0.00607949,0.000535013,-0.00335604,-0.188287,0.218227,9.57443
1788248635551654613,0,1,0.7,0,0,0,0,0,0.0570496,-0.00882731,0.2239,0.0256126,-0.0383514,-0.00621372,-0.144028,0.392225,-0.0583057,-1.78266,0.327986,0.331183,nan,nan,0,0.00121488,0.0430479,-0.0889931,-1.63614,0.0506074,0.0255507,nan,nan,0,0.0834992,-0.313992,0.046031,0.268623,-0.26825,-0.290233,nan,nan,0,-0.262159,0.510919,-0.21174,-16.9231,0.358921,0.33378,nan,nan,0,0.0925259,-0.209519,0.12072,0.938821,-0.163737,nan,1.42128,1.99623,1,0.193405,0.0218439,1.02409,1.88453,0.0967025,nan,0.709626,1.95423,1,0.0745593,-0.397019,0.0889931,2.5641,-0.36272,-0.306432,nan,nan,0,-0.00961791,-0.053019,0.00920582,1.39194,-0.054809,-0.0210204,nan,nan,0,-0.121667,0.299227,-0.309939,0.0732574,0.249167,0.26426,nan,nan,0,-0.280932,0.52415,-0.125817,-17.4603,0.349534,0.331299,nan,nan,0,0.150449,-0.205405,0.187548,2.19313,-0.134776,nan,2.1907,2.96697,1,-0.0256583,-0.00330975,-0.298167,0.0718234,-0.0128291,nan,0.16167,0.216006,1,0,0.993312,0.028835,-0.001198,0.111795,0.0256126,-0.0383514,-0.00621372,0.344013,0.296371,9.51777
1788248635561605427,0,1,0.7,0,0,0,0,0,0.0571646,-0.00927306,0.223897,0.00269231,-0.0101835,0.012029,-0.0519574,0.391267,-0.0828552,-1.24542,0.374021,0.348567,nan,nan,0,0.0998973,0.042089,-0.0828552,-0.561661,0.0999486,0.0468418,nan,nan,0,0.0749669,-0.312649,0.162642,0.268623,-0.272517,-0.281449,nan,nan,0,-0.205037,0.507851,-0.291528,-14.188,0.387482,0.359205,nan,nan,0,0.107382,-0.205265,0.282967,1.68538,-0.156309,nan,1.28901,2.04195,1,0.203147,0.0313508,1.11395,2.29264,0.101573,nan,0.435755,1.12663,1,0.0450651,-0.395678,0.14423,1.24542,-0.377467,-0.334243,nan,nan,0,-0.0298371,-0.053019,0.00306892,1.39194,-0.0649186,-0.0280784,nan,nan,0,-0.153739,0.295583,-0.33449,0.170937,0.233131,0.258611,nan,nan,0,-0.263944,0.522041,-0.21174,-16.4347,0.358028,0.343333,nan,nan,0,0.147656,-0.203319,0.25246,2.89962,-0.136172,nan,1.97144,2.7596,1,-0.0706847,-0.00738359,-0.341911,0.119579,-0.0353424,nan,-0.325897,0.402809,1,0,0.993308,0.028917,-0.001413,0.1118,0.00269231,-0.0101835,0.012029,0.625729,0.088233,10.5209
1788248635571567134,0,1,0.7,0,0,0,0,0,0.0570809,-0.00935123,0.22421,0.00483636,0.0349836,0.0467923,-0.201657,0.390308,-0.101268,-0.0244217,0.299172,0.357444,nan,nan,0,0.0487335,0.0413222,-0.0644426,0.0732574,0.0743667,0.0698789,nan,nan,0,0.0860212,-0.310732,0.242428,0.170937,-0.266989,-0.274171,nan,nan,0,-0.241637,0.504591,-0.279252,-12.2344,0.369182,0.374505,nan,nan,0,0.0940185,-0.203155,0.347705,2.11915,-0.162991,nan,0.884196,1.64425,1,0.205317,0.0397218,0.329122,2.31797,0.102658,nan,1.39441,0.623118,1,0.141871,-0.393951,0.193329,0.610504,-0.329065,-0.359756,nan,nan,0,-0.0550438,-0.053019,0.0214815,0.952377,-0.0775219,-0.0463105,nan,nan,0,-0.128582,0.292515,-0.303802,0.0244217,0.245709,0.247385,nan,nan,0,-0.263011,0.519356,-0.273115,-14.4322,0.358495,0.352088,nan,nan,0,0.151946,-0.201233,0.259945,2.70521,-0.134027,nan,1.96229,2.33923,1,-0.0613692,-0.0112573,-0.253915,0.0477641,-0.0306846,nan,-0.201945,0.21945,1,0,0.993292,0.02888,-0.001452,0.111956,0.00483636,0.0349836,0.0467923,0.281332,0.027484,11.2715
1788248635581457606,0,1,0.7,0,0,0,0,0,0.0573737,-0.0086388,0.224884,0.0518786,0.0748618,0.0917324,-0.198452,0.389349,-0.107405,-0.805862,0.300774,0.343436,nan,nan,0,0.0275345,0.0407467,-0.046031,0.757019,0.0637672,0.0819809,nan,nan,0,0.0849791,-0.308814,0.174916,0.415138,-0.26751,-0.269785,nan,nan,0,-0.189674,0.502099,-0.279252,-10.1343,0.395163,0.37874,nan,nan,0,0.13088,-0.203204,0.242793,1.84434,-0.14456,nan,1.68833,1.23935,1,0.195046,0.041878,-0.389166,1.4339,0.0975232,nan,2.25311,0.936303,1,0.181555,-0.392034,0.224015,0.415138,-0.309223,-0.358913,nan,nan,0,-0.00801547,-0.0528274,0.00920582,0.561661,-0.0540077,-0.0639802,nan,nan,0,-0.088464,0.290022,-0.279252,-0.21978,0.265768,0.241756,nan,nan,0,-0.254202,0.51648,-0.33449,-12.8205,0.362899,0.357313,nan,nan,0,0.202212,-0.201239,0.168189,2.62699,-0.108894,nan,2.97981,2.06332,1,-0.0714939,-0.0147831,-0.0281961,-9.85581e-05,-0.035747,nan,-0.586622,-0.0721053,1,0,0.993253,0.028986,-0.001072,0.112281,0.0518786,0.0748618,0.0917324,-0.939399,0.691094,10.8082
1788248635591372817,0,1,0.7,0,0,0,0,0,0.057843,-0.00754329,0.226227,0.00787693,0.0703746,0.164159,-0.2359,0.388199,-0.107405,-0.610504,0.28205,0.318654,nan,nan,0,0.0313253,0.0407467,0.00306892,0.854698,0.0656626,0.0777233,nan,nan,0,0.115974,-0.307664,0.0767183,1.05006,-0.252013,-0.267471,nan,nan,0,-0.207964,0.499223,-0.279252,-9.69475,0.386018,0.383486,nan,nan,0,0.12363,-0.199066,0.175865,1.33521,-0.148185,nan,1.51706,1.23558,1,0.204719,0.0317685,-0.629935,1.02884,0.10236,nan,3.06264,1.75482,1,0.202901,-0.389925,0.21174,0.268623,-0.298549,-0.337492,nan,nan,0,-0.0182394,-0.0528274,-0.00306892,0.21978,-0.0591197,-0.0673263,nan,nan,0,-0.054417,0.287147,-0.273115,-0.463982,0.282791,0.248904,nan,nan,0,-0.265478,0.512836,-0.371314,-12.967,0.357261,0.360588,nan,nan,0,0.200169,-0.199161,0.0840632,2.27519,-0.109916,nan,2.99748,2.31194,1,-0.0732425,-0.0116026,0.172337,-0.119687,-0.0366212,nan,-1.00907,-0.400497,1,0,0.993174,0.029158,-0.000482,0.112933,0.00787693,0.0703746,0.164159,-1.69808,0.236686,9.2137
1788248635601363995,0,1,0.7,0,0,0,0,0,0.0576817,-0.00646283,0.227988,-0.0424654,0.0476621,0.170905,-0.128492,0.386857,-0.125817,-0.952377,0.335754,0.297828,nan,nan,0,0.0740452,0.0409389,0.0276184,1.19658,0.0870226,0.0704643,nan,nan,0,0.109399,-0.307856,-0.0337563,1.63614,-0.2553,-0.261892,nan,nan,0,-0.229686,0.496538,-0.254703,-9.79243,0.375157,0.387404,nan,nan,0,0.115009,-0.197017,0.168097,1.02174,-0.152495,nan,1.3061,1.39373,1,0.216039,0.025645,-0.422894,1.26858,0.10802,nan,3.10558,2.5514,1,0.153985,-0.387623,0.230153,0.561661,-0.323008,-0.314907,nan,nan,0,-0.0118962,-0.053019,-0.00920582,-0.122101,-0.0559481,-0.0632223,nan,nan,0,-0.0717536,0.284845,-0.199466,-0.415138,0.274123,0.264488,nan,nan,0,-0.269328,0.509193,-0.352901,-11.8437,0.355336,0.360687,nan,nan,0,0.173811,-0.199168,0.10507,2.15758,-0.123094,nan,2.50495,2.72276,1,-0.0986432,-0.0117983,0.112801,-0.382751,-0.0493216,nan,-1.2949,-0.743472,1,0,0.99308,0.029017,7.1e-05,0.113792,-0.0424654,0.0476621,0.170905,-1.75409,-0.176113,8.61249
